fn,firstSentence,basedOn,code
Indobit-A-NYT1981 - Jan 1 - March 31-381.txt,"Msgr. Vincent J. Powell, the director of the Catholic Youth Organization in the Diocese of Brooklyn from 1940 to 1966, died March 12 at the Columbia Presbyterian Medical Center.",director," 150, 159
"
Indobit-A-NYT1984_1001-1500-366.txt,"Vic Dickenson, a jazz trombonist with a sly, dry and mordantly witty style who was one of the most individualistic stars of Count Basie's orchestra, died Friday at New York Hospital as a result of cancer.",jazz,KZ-Genre
Indobit-A-NYT1984_501-1000-262.txt,"Clarence Campbell, soldier, Rhodes Scholar, lawyer and president of the National Hockey League from 1946 to his retirement in 1977, died early yesterday at Montreal General Hospital.",lawyer," 110–111
"
Indobit-A-NYT1985 - Oct 1 - Dec 31-26.txt,"Dr. Sherman Beychok, a Columbia University biochemist active in research on the principal blood protein hemoglobin, died Wednesday of a heart attack.",biochemist," 041
"
Indobit-A-NYT1985 - Oct 1 - Dec 31-26.txt,"Dr. Sherman Beychok, a Columbia University biochemist active in research on the principal blood protein hemoglobin, died Wednesday of a heart attack.",chemist," 022
"
Indobit-A-NYT1982_501-1000-310.txt,"Franklyn Waltman, director of publicity for the Republican National Committee from 1938 to 1941, died Sunday at the Hospital of the University of Pennsylvania in Philadelphia.",director," 150, 159
"
Indobit-A-NYT1982_1-500-136.txt,"Leonard J. Patricelli, who for more than half a century helped build Connecticut's WTIC radio and televison stations into the largest broadcast outlet in southern New England, died Monday of a cerebral hemorrhage at Martin Memorial Hospital in Stuart, Fla.",radio,KZ-Forms of Music
Indobit-A-NYT1986_1001-1500-72.txt,"Theodore H. White, the ex-newsboy who became a Pulitzer Prize-winning journalist skilled at humanizing events in his ''Making of the President'' books and myriad other writings, died late last night at Lenox Hill Hospital.",journalist," 131–132
"
Indobit-A-NYT1982_1501-1630-118.txt,"Nathan Nathanson, former chief assistant appraiser of the United States Customs Service, died Tuesday of respiratory failure at his home in Manhattan.",appraiser," 191
"
Indobit-A-NYT1983 - Jan 1 - March 31-356.txt,"Donald Duart Maclean was a principal actor in Britain's most sensational and longest-running espionage drama. He fled to Moscow when British counterintelligence caught on to his duplicity, becoming a Soviet Government official under the alias of Mark Petrovich Frazer.",actor," 150
"
Indobit-A-NYT1986_1001-1500-401.txt,"The British aviation pioneer Beryl Markham, who in 1936 became the first person to fly solo across the Atlantic from east to west, died Sunday at a Nairobi hospital, her lawyer said today.",lawyer," 110–111
"
Indobit-A-NYT1982_1-500-307.txt,"Dr. Lazar Margulies, a surgeon and gynecologist-obstetrician who helped develop the plastic intrauterine device for contraception, died Sunday at the Institute of Rehabilitation Medicine.",surgeon," 070
"
Indobit-A-NYT1986_501-1000-265.txt,"David I. Ashe, a lawyer who represented several international and local unions and a former member of the city's Board of Higher Education, died yesterday at New York Hospital.",lawyer," 110–111
"
Indobit-A-NYT1980_1-500-494.txt,"Neal P. Bottiglieri, who served as a Criminal Court judge in Manhattan and the Bronx from 1954 to 1974, died Sunday at his home in the Bronx after a long illness.",judge," 111
"
Indobit-A-NYT1984_501-1000-11.txt,"C. William Harwood, the conductor who led the New York premiere of George Gershwin's original version of ''Porgy and Bess'' at Radio City Music Hall last year, died of viral pneumonia Thursday in Little Rock, Ark.",radio,KZ-Forms of Music
Indobit-A-NYT1987 - April 1 - June 30-183.txt,"Reuven Kosakoff, a pianist and composer, died Wednesday at his home in Manhattan.",composer," 152
"
Indobit-A-NYT1984_501-1000-36.txt,"May McAvoy, the silent -screen actress with a wide-eyed innocent look who was Al Jolson's leading lady in the landmark 1927 talking picture ''The Jazz Singer,'' and who was once described as a ''star-eyed goddess'' by Carl Sandburg while the Chicago poet was a newspaper film reviewer, died April 26 in Los Angeles.",jazz,KZ-Genre
Indobit-A-NYT1982_1-500-222.txt,"Denver Lind ley, a magazine and book editor who also translated intoEnglish books by Thomas Mann, Andre Maurois and Erich Maria Remarque,died Thursday at the Tucson (Ariz.) Medical Center.",book editor," 132
"
Indobit-A-NYT1983 - July 1 - Sep 30-225.txt,"George Zazofsky, a retired assistant concertmaster and first violinist of the Boston Symphony Orchestra, died Friday at the Berkshire Medical Center in Pittsfield, Mass.",Symphony,KZ-Group
Indobit-A-NYT1981 - July 1 - Sep 30-109.txt,"J. Clayton Strawbridge, a member of the board of directors of Strawbridge & Clothier, the Philadelphia department store, died Wednesday at his estate, The Waves, in Newport, R.I.",director," 150, 159
"
Indobit-A-NYT1981 - July 1 - Sep 30-109.txt,"J. Clayton Strawbridge, a member of the board of directors of Strawbridge & Clothier, the Philadelphia department store, died Wednesday at his estate, The Waves, in Newport, R.I.",directors," 150, 159
"
Indobit-A-NYT1983 - Oct 1 - Dec 31-38.txt,"NEW YORK Cardinal Terence Cooke rose to a great height in the Roman Catholic Church without losing the simplicity and soul of a village priest. He was the seventh archbishop of New York, named to that high ecclesiastical post in 1968 by Pope Paul VI.",soul,KZ-Genre
Indobit-A-NYT1981 - Oct 1 - Dec 31-424.txt,"Hoagy Carmichael, composer of such songs as ''Stardust'' and ''Georgia on My Mind,'' died today at Eisenhower Medical Center.",composer," 152
"
Indobit-A-NYT1980_501-904-59.txt,"Mikhail A. Lavrentyev, a Russian mathematician who headed the Siberian science community for two decades, died Oct. 15 in Moscow, according to Soviet newspapers.",mathematician," 020
"
Indobit-A-NYT1983 - Jan 1 - March 31-213.txt,"Dr. Albert J. Irving, a dentist and former vice president of the board of directors of the Horticultural Society of New York, died Saturday at the Putnam Hospital Center in Carmel, N.Y.",dentist," 072
"
Indobit-A-NYT1983 - Jan 1 - March 31-213.txt,"Dr. Albert J. Irving, a dentist and former vice president of the board of directors of the Horticultural Society of New York, died Saturday at the Putnam Hospital Center in Carmel, N.Y.",director," 150, 159
"
Indobit-A-NYT1983 - Jan 1 - March 31-213.txt,"Dr. Albert J. Irving, a dentist and former vice president of the board of directors of the Horticultural Society of New York, died Saturday at the Putnam Hospital Center in Carmel, N.Y.",directors," 150, 159
"
Indobit-A-NYT1985 - July 1 - Sep 30-423.txt,"Morris Shapiro, a civil rights lawyer, former vice president of the Liberal Party of New York State and former president of the City Club of New York, died yesterday, two days after suffering a heart attack while swimming near his retirement home in Coconut Creek, Fla.",lawyer," 110–111
"
Indobit-A-NYT1983 - April 1 - June 30-357.txt,"I. Arthur Rosenberg, a lawyer who practiced commercial law in New York City for more than 40 years, died of cancer Thursday at Beth Israel Medical Center.",lawyer," 110–111
"
Indobit-A-NYT1981 - July 1 - Sep 30-77.txt,"Harry Chapin, a folk-rock composer and performer active in many charitable causes, was killed yesterday when the car he was driving was hit from behind by a tractor-trailer on the Long Island Expressway in Jericho, L.I., the police said.",composer," 152
"
Indobit-A-NYT1981 - July 1 - Sep 30-77.txt,"Harry Chapin, a folk-rock composer and performer active in many charitable causes, was killed yesterday when the car he was driving was hit from behind by a tractor-trailer on the Long Island Expressway in Jericho, L.I., the police said.",actor," 150
"
Indobit-A-NYT1987 - April 1 - June 30-139.txt,"Howard Barnstone, a Houston architect whose teaching and buildings had an impact on this city's development, was found dead in his apartment here Wednesday in an apparent suicide.",architect," 001
"
Indobit-A-NYT1983 - April 1 - June 30-285.txt,"Dr. Avram Kisselgoff, former chief economist of the Allied Chemical Corporation, died of a heart attack Friday at St. Luke's Hospital.",economist," 050
"
Indobit-A-NYT1981 - Oct 1 - Dec 31-243.txt,"Herschel Alt, a specialist in mental health and child welfare, author and former executive director of the Jewish Board of Guardians, died Monday at the New York Hospital-Cornell Medical Center.",director," 150, 159
"
Indobit-A-NYT1982_501-1000-175.txt,"Theodore French, a lawyer who retired from the Federal Energy Regulatory Commission in 1979 after 34 years of Government service, died May 25 at Suburban Hospital in Bethesda, Md.",lawyer," 110–111
"
Indobit-A-NYT1986_1-500-265.txt,"Joseph V. Heffernan, a lawyer and former financial vice president and director of the National Broadcasting Company, died Sunday at his home in Ardsley-on-Hudson, N.Y.",lawyer," 110–111
"
Indobit-A-NYT1986_1-500-265.txt,"Joseph V. Heffernan, a lawyer and former financial vice president and director of the National Broadcasting Company, died Sunday at his home in Ardsley-on-Hudson, N.Y.",director," 150, 159
"
Indobit-A-NYT1981 - Jan 1 - March 31-229.txt,"Frederick Luehring, basketball coach at Princeton from 1912 to 1920 and later director of health and physical education at Pennsylvania, died Feb. 1 at his home in Swarthmore, Pa.",director," 150, 159
"
Indobit-A-NYT1986_1001-1500-244.txt,"Robert Drivas, an award-winning director and actor of stage, screen and television, died Sunday at the Memorial Sloan-Kettering Cancer Center.",director," 150, 159
"
Indobit-A-NYT1986_1001-1500-244.txt,"Robert Drivas, an award-winning director and actor of stage, screen and television, died Sunday at the Memorial Sloan-Kettering Cancer Center.",actor," 150
"
Indobit-A-NYT1982_1-500-368.txt,"Ed Fitzgerald, who had broadcast on radio continuously for 52 years and who with his wife, Pegeen, was credited with originating husbandand-wife radio talk programs, died yesterday at his home at 40 Central Park South.",radio,KZ-Forms of Music
Indobit-A-NYT1984_501-1000-316.txt,"C. Conrad Schneider, a former Bergen County judge in New Jersey and the founder of the Bergen County Community Blood Bank, died of a heart ailment Thursday at his home in Hackensack, N.J.",judge," 111
"
Indobit-A-NYT1981 - Jan 1 - March 31-386.txt,"Dickson Jay Hartwell, an author, journalist and public relations executive, died yesterday at the Tripler Army Medical Center in Honolulu.",journalist," 131–132
"
Indobit-A-NYT1981 - Oct 1 - Dec 31-250.txt,"Jack Frizzelle, manager of public relations at the Metropolitan Museum of Art since 1969 and a prominent figure in New York musical life, died of lung cancer in New York Hospital yesterday.",musical,KZ-Forms of Music
Indobit-A-NYT1987 - April 1 - June 30-3.txt,"Alex L. Hart, a transportation consultant who in the 1960's was executive director of the New York-New Jersey Transportation Agency, died March 11 in Aurora, Colo.",director," 150, 159
"
Indobit-A-NYT1986_1-500-453.txt,"Jean Genet - playwright, novelist, poet and one of the revolutionary artists of the 20th century - died yesterday morning in the Paris hotel where he lived.",artist," 141, 144
"
Indobit-A-NYT1986_1-500-453.txt,"Jean Genet - playwright, novelist, poet and one of the revolutionary artists of the 20th century - died yesterday morning in the Paris hotel where he lived.",artists," 141, 144
"
Indobit-A-NYT1985 - April 1 - June 30-175.txt,"Harold Mayer, a judge and the director of the Box 100 anticorruption program during the administration of Mayor Robert F. Wagner Jr., died of heart disease Wednesday at Parkway Medical Center in North Miami, Fla.",director," 150, 159
"
Indobit-A-NYT1985 - April 1 - June 30-175.txt,"Harold Mayer, a judge and the director of the Box 100 anticorruption program during the administration of Mayor Robert F. Wagner Jr., died of heart disease Wednesday at Parkway Medical Center in North Miami, Fla.",judge," 111
"
Indobit-A-NYT1982_501-1000-333.txt,"Kenneth Gilbert More, an English actor, died Monday night at his home here.",actor," 150
"
Indobit-A-NYT1986_1-500-339.txt,"Murray Becker, an Associated Press photographer whose pictures of the burning airship Hindenburg and a weeping Lou Gehrig are among the most celebrated in journalism, died of cancer Tuesday at his home in North Miami Beach, Fla.",photographer," 143
"
Indobit-A-NYT1981 - April 1 - June 30-156.txt,"Robert W. Reneker, former chairman and chief executive officer of Esmark Inc. of Chicago, a holding company for diversified concerns that include the meat producers Swift & Co., died of a heart attack Monday at Presbyterian St. Luke's Hospital in Chicago.",divers," 349, 899
"
Indobit-A-NYT1981 - April 1 - June 30-156.txt,"Robert W. Reneker, former chairman and chief executive officer of Esmark Inc. of Chicago, a holding company for diversified concerns that include the meat producers Swift & Co., died of a heart attack Monday at Presbyterian St. Luke's Hospital in Chicago.",producer," 159, 187, 962
"
Indobit-A-NYT1981 - April 1 - June 30-156.txt,"Robert W. Reneker, former chairman and chief executive officer of Esmark Inc. of Chicago, a holding company for diversified concerns that include the meat producers Swift & Co., died of a heart attack Monday at Presbyterian St. Luke's Hospital in Chicago.",diver," 349, 899
"
Indobit-A-NYT1981 - April 1 - June 30-156.txt,"Robert W. Reneker, former chairman and chief executive officer of Esmark Inc. of Chicago, a holding company for diversified concerns that include the meat producers Swift & Co., died of a heart attack Monday at Presbyterian St. Luke's Hospital in Chicago.",producers," 159, 187, 962
"
Indobit-A-NYT1986_1001-1500-461.txt,"Way Bandy, one of the fashion world's best-known and highest-paid makeup artists and a best-selling author, died Wednesday at New York Hospital-Cornell Medical Center.",artist," 141, 144
"
Indobit-A-NYT1986_1001-1500-461.txt,"Way Bandy, one of the fashion world's best-known and highest-paid makeup artists and a best-selling author, died Wednesday at New York Hospital-Cornell Medical Center.",artists," 141, 144
"
Indobit-A-NYT1980_1-500-277.txt,"C. Russell Shetterly, a lawyer who retired in 1973 from the Wall Street firm of Mitchell, Petty & Shetterly, municipal bond dealers, died July 21 at Suburban Hospital in Bethesda, Md.",lawyer," 110–111
"
Indobit-A-NYT1980_1-500-477.txt,"Herman R. Einstein, a freelance mechanical engineer who worked for General Motors, General Electric and other leading companies, died at Mount Sinai Hospital on Saturday.",mechanical engineer," 007
"
Indobit-A-NYT1983 - April 1 - June 30-346.txt,"Paul Mann, pianist and composer whose more than 50 musical compositions included Frank Sinatra's theme song, ''Put Your Dreams Away,'' died in Booth Memorial Hospital, in Queens, on May 27 of emphysema.",composer," 152
"
Indobit-A-NYT1983 - April 1 - June 30-346.txt,"Paul Mann, pianist and composer whose more than 50 musical compositions included Frank Sinatra's theme song, ''Put Your Dreams Away,'' died in Booth Memorial Hospital, in Queens, on May 27 of emphysema.",musical,KZ-Forms of Music
Indobit-A-NYT1987 - April 1 - June 30-48.txt,"Anni Frind, who sang leading soubrette soprano roles in both opera and operetta in the 1920's and 30's, died Wednesday in New Orleans.",soprano,KZ-Instrument
Indobit-A-NYT1987 - April 1 - June 30-48.txt,"Anni Frind, who sang leading soubrette soprano roles in both opera and operetta in the 1920's and 30's, died Wednesday in New Orleans.",opera,KZ-Forms of Music
Indobit-A-NYT1987 - April 1 - June 30-48.txt,"Anni Frind, who sang leading soubrette soprano roles in both opera and operetta in the 1920's and 30's, died Wednesday in New Orleans.",operetta,KZ-Forms of Music
Indobit-A-NYT1981 - April 1 - June 30-398.txt,"John G. Dinkeloo, a partner in one of the country's most distinguished architectural firms, Kevin Roche, John Dinkeloo & Associates, died in his sleep yesterday morning while on a weekend trip to Fredericksburg, Va.",architect," 001
"
Indobit-A-NYT1982_1-500-405.txt,"Edward T. Fleming, a chemist, died Sunday at his home in Manhattan.",chemist," 022
"
Indobit-A-NYT1983 - Oct 1 - Dec 31-363.txt,"Dr. William H. Reinmuth, a professor of chemistry at Columbia University and coordinator of its general chemistry course, died of a heart attack Sunday at his home in Manhattan.",chemist," 022
"
Indobit-A-NYT1982_501-1000-72.txt,"Helmut Dantine, an actor best known for his portrayal of arrogant Nazis in World War II films, has died of a heart attack at his home in Beverly Hills, family friends announced today.",actor," 150
"
Indobit-A-NYT1987 - Jan 1 - March 31-77.txt,"Carol Perrenot Longone, the developer of operalogues, a combination of opera and narrative, died of pneumonia Jan. 4 at Roosevelt Hospital.",opera,KZ-Forms of Music
Indobit-A-NYT1985 - Jan 1 - March 31-60.txt,"Dr. Ernani D'Angelo, a retired psychiatrist who had a private medical practice in Jamaica, Queens, for 40 years, died Jan. 2 at the Bethesda Memorial Hospital in Boynton Beach, Fla., after a long illness.",psychiatrist," 070
"
Indobit-A-NYT1985 - July 1 - Sep 30-388.txt,"Harris Chasanoff, a real-estate lawyer and a partner in Chasanoff Properties of Jericho, L.I., died at the Long Island Jewish-Hillside Medical Center Sunday.",lawyer," 110–111
"
Indobit-A-NYT1984_1001-1500-98.txt,"The Rev. William R. Bonniwell, a Dominican priest who was a former director of the Preachers Institute in Washington, died Sunday at Lenox Hill Hospital.",director," 150, 159
"
Indobit-A-NYT1980_1-500-274.txt,"Duke Pearson, a jazz pianist, composer, orchestra leader and record producer, died of multiple sclerosis on Monday at the Veterans Hospital in Atlanta.",producer," 159, 187, 962
"
Indobit-A-NYT1980_1-500-274.txt,"Duke Pearson, a jazz pianist, composer, orchestra leader and record producer, died of multiple sclerosis on Monday at the Veterans Hospital in Atlanta.",composer," 152
"
Indobit-A-NYT1980_1-500-274.txt,"Duke Pearson, a jazz pianist, composer, orchestra leader and record producer, died of multiple sclerosis on Monday at the Veterans Hospital in Atlanta.",jazz,KZ-Genre
Indobit-A-NYT1980_1-500-274.txt,"Duke Pearson, a jazz pianist, composer, orchestra leader and record producer, died of multiple sclerosis on Monday at the Veterans Hospital in Atlanta.",Orchestra,KZ-Group
Indobit-A-NYT1986_1-500-413.txt,"Pesach Burstein, a Yiddish actor whose singing, dancing and whistling delighted audiences here and abroad for more than 70 years, died Sunday at Lenox Hill Hospital after suffering a heart attack last Monday.",actor," 150
"
Indobit-A-NYT1985 - Jan 1 - March 31-271.txt,"Olgivanna Lloyd Wright, the collaborator and wife of Frank Lloyd Wright and, since his death in 1959, the keeper of his architectural legacy, died of a heart attack yesterday at Scottsdale (Ariz.) Memorial Hospital North.",architect," 001
"
Indobit-A-NYT1981 - Oct 1 - Dec 31-307.txt,"Rose Landver-Davison, an opera singer in Europe before World War II and a former teacher of operatic acting, died Saturday at her home in Rockville Centre, L.I.",singer," 152
"
Indobit-A-NYT1981 - Oct 1 - Dec 31-307.txt,"Rose Landver-Davison, an opera singer in Europe before World War II and a former teacher of operatic acting, died Saturday at her home in Rockville Centre, L.I.",opera,KZ-Forms of Music
Indobit-A-NYT1985 - Oct 1 - Dec 31-264.txt,"Fernand Braudel, widely regarded as one the great historians of the century, died yesterday in Paris.",historian," 052
"
Indobit-A-NYT1985 - Oct 1 - Dec 31-264.txt,"Fernand Braudel, widely regarded as one the great historians of the century, died yesterday in Paris.",historians," 052
"
Indobit-A-NYT1983 - April 1 - June 30-146.txt,"Benjamin R. Epstein, national director of the Anti-Defamation League of B'nai B'rith from 1947 to 1978, died of cancer Monday at his home in Manhattan.",director," 150, 159
"
Indobit-A-NYT1987 - April 1 - June 30-68.txt,"Tom Abbott, a dancer known for his stagings of Jerome Robbins's musicals and ballets, was found dead in his home in Manhattan last Wednesday.",dancer," 151
"
Indobit-A-NYT1980_501-904-152.txt,"Sam Harris, a prosecutor at the Nuremberg war crimes trial and an original director and acting chairman of the Communications Satellite Corporation, died in Manhattan yesterday.",director," 150, 159
"
Indobit-A-NYT1981 - July 1 - Sep 30-253.txt,"Alexander Greendale, a playwright and the executive director of the West Side Jewish Community Council, died of cancer Friday at Beth Israel Hospital in Manhattan.",director," 150, 159
"
Indobit-A-NYT1985 - Oct 1 - Dec 31-23.txt,"Sidney Clute, the actor who played Detective Paul LaGuardia on the ''Cagney & Lacey'' television series, died of cancer Wednesday at St. George Hospital.",actor," 150
"
Indobit-A-NYT1986_1001-1500-76.txt,"Thomas J. McLernon, general manager of the New York City Transit Authority in the 1950's, died Wednesday at his home in Spring Lake Heights, N.J.He was 80 years old.",general manager," 189
"
Indobit-A-NYT1986_501-1000-58.txt,"Arthur P. Upgren, an economist, author and professor at four universities or colleges for 50 years, died Monday at the Andrews Estates Medical Center in Boca Raton, Fla.",economist," 050
"
Indobit-A-NYT1983 - April 1 - June 30-221.txt,"Anna Leskaya Asch, a Russian-born soprano who sang the title role in the 1935 American premiere of Dimitri Shostakovich's ''Lady Macbeth of Mzensk,'' died in New York May 9.",soprano,KZ-Instrument
Indobit-A-NYT1980_501-904-126.txt,"Mildred Adams Kenyon, a journalist, writer, translator and critic of Spanish literature, died of a heart attack on Wednesday.",journalist," 131–132
"
Indobit-A-NYT1981 - Oct 1 - Dec 31-264.txt,"Dr. Laszlo Auer, founder of the Aula Chemicals Company and holder of 300 patents for polymer and paint chemistry, died Thursday at his home in West Palm Beach, Fla.",chemist," 022
"
Indobit-A-NYT1985 - Jan 1 - March 31-247.txt,"Louis Hayward, a dashing actor with silky manners who made his reputation playing swashbuckling heroes in movies during the 1930's and 40's, died of lung cancer yesterday at Desert Hospital in Palm Springs, Calif.",actor," 150
"
Indobit-A-NYT1985 - Jan 1 - March 31-200.txt,"Dr. John E. Franklin Sr., a retired physician who specialized in pediatric oncology, died of a heart attack last Sunday while visiting in Naples, Fla.",physician," 070
"
Indobit-A-NYT1981 - April 1 - June 30-47.txt,"Louis Bloch, an economist who served on the War Manpower Commission in World War II, died March 31 in San Francisco, where he lived.",economist," 050
"
Indobit-A-NYT1986_501-1000-119.txt,"Louise Parker, a contralto who sang with the New York City Opera and the New York Philharmonic, died Monday of respiratory failure in Philadephia.",opera,KZ-Forms of Music
Indobit-A-NYT1985 - Oct 1 - Dec 31-21.txt,"Mischa Schneider, the cellist with the Budapest String Quartet for 38 years, died Thursday at his home in Buffalo.",quartet,KZ-Group
Indobit-A-NYT1985 - Jan 1 - March 31-219.txt,"John A. Morris, whose association with throughbred racing as an owner, a breeder and track executive spanned 60 years, died yesterday of cardiac arrest at his home here.",track,KZ-Forms of Music
Indobit-A-NYT1980_1-500-452.txt,"Dr. Emanuel B. Kaplan, an anatomist and an orthopedic and hand surgeon, died Saturday at his home in Teaneck, N.J.",surgeon," 070
"
Indobit-A-NYT1980_1-500-452.txt,"Dr. Emanuel B. Kaplan, an anatomist and an orthopedic and hand surgeon, died Saturday at his home in Teaneck, N.J.",anatomist," 041
"
Indobit-A-NYT1983 - July 1 - Sep 30-176.txt,"Frank Gregg Kear, an electrical engineer who served as a consultant on electronics development, died of Alzheimer's disease July 21 in a Sunnyvale, Calif., nursing home.",electrical engineer," 003
"
Indobit-A-NYT1986_1001-1500-165.txt,"Robert Edward Lang, the first director of Radio Free Europe and a former vice president of both CBS News and ABC News, died of cancer Tuesday at his home here.",director," 150, 159
"
Indobit-A-NYT1986_1001-1500-165.txt,"Robert Edward Lang, the first director of Radio Free Europe and a former vice president of both CBS News and ABC News, died of cancer Tuesday at his home here.",radio,KZ-Forms of Music
Indobit-A-NYT1984_501-1000-350.txt,"J. Delos Jewkes, a singer and actor who supplied the voice of God for Cecil B.",singer," 152
"
Indobit-A-NYT1984_501-1000-350.txt,"J. Delos Jewkes, a singer and actor who supplied the voice of God for Cecil B.",actor," 150
"
Indobit-A-NYT1985 - July 1 - Sep 30-146.txt,"Vera Cravath Gibbs, a former member of the board of the Metropolitan Opera Association and widow of William Francis Gibbs, the naval architect, died Saturday at her home in Rockport, Mass., following a heart attack.",architect," 001
"
Indobit-A-NYT1985 - July 1 - Sep 30-146.txt,"Vera Cravath Gibbs, a former member of the board of the Metropolitan Opera Association and widow of William Francis Gibbs, the naval architect, died Saturday at her home in Rockport, Mass., following a heart attack.",opera,KZ-Forms of Music
Indobit-A-NYT1980_1-500-68.txt,"John B. McCauley, who forsook a medical career while studying at Columbia University to go on the Broadway stage as Jack McCauley in a series of musical comedies, died Friday in Menlo Park, Calif.",musical,KZ-Forms of Music
Indobit-A-NYT1983 - Jan 1 - March 31-80.txt,"Kenneth G. Crawford, a journalist for 46 years and former columnist for Newsweek magazine, died today of lung cancer at his home here.",journalist," 131–132
"
Indobit-A-NYT1983 - Oct 1 - Dec 31-374.txt,"Fania Fenelon, whose memoir of her experiences singing in the inmate orchestra at Auschwitz was made into a controversial television movie, died of cancer Tuesday in the Kremlin Bic,etre Hospital in Paris.",Orchestra,KZ-Group
Indobit-A-NYT1981 - Jan 1 - March 31-385.txt,"Sam Salz, who collected and dealt in French impressionist and post-impressionist paintings on both sides of the Atlantic for more than half a century, died yesterday at his home on East 76th Street in Manhattan after a lengthy illness.",impressionist,KZ-Genre
Indobit-A-NYT1987 - Jan 1 - March 31-313.txt,"Gerald Moore, an English pianist whose sensitive performances and articulate advocacy helped elevate accompaniment to a high level of musical endeavor, died in his sleep Friday at his home in Buckinghamshire, England.",musical,KZ-Forms of Music
Indobit-A-NYT1982_1501-1630-74.txt,"Charles Matthew Underhill, the first program director for CBS-TV, died Friday at his home in Wellfleet, Mass., after a long illness.",director," 150, 159
"
Indobit-A-NYT1983 - Oct 1 - Dec 31-65.txt,"Walter H. C. Laves, a political scientist who served as an official of Unesco, held several positions in the Federal Government and was a university lecturer and administrator, died Thursday in Bloomington, Ind.",political scientist," 051
"
Indobit-A-NYT1981 - Oct 1 - Dec 31-299.txt,"Dr. Fredric Wertham, an internationally known psychiatrist who believed that comic books, movies and television shows that featured crime, violence and horror exerted a damaging influence on many juveniles and young adults, died Nov. 18 at his retirement home in Kempton, Pa.",psychiatrist," 070
"
Indobit-A-NYT1984_501-1000-41.txt,"Jack Barry, the producer and star of such popular television game shows as ''The Joker's Wild'' and ''21,'' collapsed and died of a heart attack Wednesday while jogging in Central Park.",producer," 159, 187, 962
"
Indobit-A-NYT1984_501-1000-41.txt,"Jack Barry, the producer and star of such popular television game shows as ''The Joker's Wild'' and ''21,'' collapsed and died of a heart attack Wednesday while jogging in Central Park.",popular,KZ-Genre
Indobit-A-NYT1980_501-904-159.txt,"Col. Gilbert D. Susskind, U.S.A., retired, a lawyer and an artillery officer who served in the Philippines, Korea and Germany, died Wednesday at Penrose Hospital in Colorado Springs.",lawyer," 110–111
"
Indobit-A-NYT1984_1-500-398.txt,"Lord Brooke of Cumnor, a British politician of the 1950's and 1960's who was often the target of popular protest, died Thursday at his home in Mildenhall, England, after a long illness.",popular,KZ-Genre
Indobit-A-NYT1985 - Jan 1 - March 31-362.txt,"Dr. Norman Simon, a physician and innovator in the radiological treatment of cancer, died Saturday at White Plains Hospital after suffering a cerebral hemorrhage last December.",physician," 070
"
Indobit-A-NYT1981 - Oct 1 - Dec 31-222.txt,"Richard W. Goss, who was sales manager of the aluminum division of the Scovill Manufacturing Company of Waterbury, Conn., died Wednesday in Sanibel, Fla., after a long illness.",sales manager," 163
"
Indobit-A-NYT1984_501-1000-286.txt,"Chauncey L. Waddell, an investment banker and philanthropist, died Wednesday at the New York Hospital- Cornell Medical Center.",investment banker," 020
"
Indobit-A-NYT1985 - Jan 1 - March 31-86.txt,"Harry Rigby, the theatrical producer who conceived of and co-produced the long-running show ''Sugar Babies,'' was found dead yesterday in his Manhattan apartment.",producer," 159, 187, 962
"
Indobit-A-NYT1987 - April 1 - June 30-373.txt,"Lester Eisner Jr., a lawyer who was a former regional administrator of the Federal Department of Housing and Urban Development, died Tuesday at his Manhattan apartment after a long illness.",lawyer," 110–111
"
Indobit-A-NYT1987 - April 1 - June 30-162.txt,"Cathryn Damon, a stage and television actress who won an Emmy for her role on the popular television spoof ''Soap,'' died of cancer Monday at Cedars-Sinai Medical Center.",popular,KZ-Genre
Indobit-A-NYT1985 - Jan 1 - March 31-366.txt,"Zvee Scooler, an actor who appeared in the entire seven-year Broadway run of ''Fiddler on the Roof'' and spent half a century as a Yiddish commentator on WEVD Radio, died yesterday at Beth Israel Hospital in New York City after a short illness.",actor," 150
"
Indobit-A-NYT1983 - April 1 - June 30-99.txt,"David Sher, a lawyer and philanthropist who was active in civic and Jewish affairs, died of a heart attack Thursday at Mount Sinai Hospital.",lawyer," 110–111
"
Indobit-A-NYT1985 - July 1 - Sep 30-9.txt,"Ruth Eisner Brill, an economist who specialized in consumer, housing and labor issues during the New Deal era, died of cancer Sunday at her home in Manhattan.",economist," 050
"
Indobit-A-NYT1984_1001-1500-37.txt,"Francis V. Madigan, a lawyer and a former vice chairman of the New York City Housing Authority in the administrations of Mayors Robert F. Wagner and John V. Lindsay, died of a heart attack Sunday at his home in Silver Lake, S.I.",lawyer," 110–111
"
Indobit-A-NYT1983 - July 1 - Sep 30-211.txt,"William Benjamin Gould 3d, an electrical engineer who had principal responsibility for installing early-warning radar on the West Coast in World War II, died of cancer Monday at the Monmouth Medical Center in Long Branch, N.J.",electrical engineer," 003
"
Indobit-A-NYT1981 - Jan 1 - March 31-40.txt,"Dorothy P. Lathrop, an author, artist and prize-winning book illustrator, died Dec. 30 at her home in Falls Village, Conn. She was 89 years old.",artist," 141, 144
"
Indobit-A-NYT1986_1-500-450.txt,"Nathan W. Goldstein, a longtime circulation director of The New York Times and a man legendary for his worldwide friendships, died yesterday at the Hollywood Medical Center in Hollywood, Fla.",director," 150, 159
"
