fn,firstSentence,basedOn,code
Indobit-A-NYT1980_1-500-332.txt,"Lawrence Betty, 83 years old and believed to be the country's oldest volunteer firefighter, died Wednesday of a skull fracture suffered in a chemical plant fire that had left him ''brain dead'' two days ago.",firefighter," 373
"
Indobit-A-NYT1981 - Oct 1 - Dec 31-274.txt,"John R. Rague, executive director of the American Movement for World Government, died last Wednesday at his apartment in the Benjamin Franklin Hotel in Manhattan at age 63.",director," 150, 159
"
Indobit-A-NYT1982_1001-1500-317.txt,"Abba P. Lerner, an economist who was a prolific author of books and articles on economic theory, inflation and unemployment, died here last Wednesday.",economist," 050
"
Indobit-A-NYT1987 - April 1 - June 30-88.txt,"Antony Tudor, one of the foremost choreographers of the century and widely considered the master of the psychological ballet, died last night of a heart attack at his home in Manhattan.",choreographer," 962
"
Indobit-A-NYT1987 - April 1 - June 30-88.txt,"Antony Tudor, one of the foremost choreographers of the century and widely considered the master of the psychological ballet, died last night of a heart attack at his home in Manhattan.",choreographers," 962
"
Indobit-A-NYT1985 - July 1 - Sep 30-94.txt,"Taylor Storer, general manager of the New Music Distribution Service, died Thursday in St. Louis after a long illness.",general manager," 189
"
Indobit-A-NYT1986_1-500-202.txt,"Zachariah Shuster, a former director of the European office of the American Jewish Committee, died of cancer yesterday at Mount Sinai Hospital.",director," 150, 159
"
Indobit-A-NYT1985 - Oct 1 - Dec 31-8.txt,"Sara Tucker, widow of the Metropolitan Opera tenor Richard Tucker, died of leukemia Monday at Mount Sinai Hospital.",tenor,KZ-Instrument
Indobit-A-NYT1985 - Oct 1 - Dec 31-8.txt,"Sara Tucker, widow of the Metropolitan Opera tenor Richard Tucker, died of leukemia Monday at Mount Sinai Hospital.",opera,KZ-Forms of Music
Indobit-A-NYT1982_501-1000-151.txt,"Shanley N. Egeth, administrative judge of the Civil Court of New York City and an acting State Supreme Court justice, died Wednesday at his home in Manhattan.",judge," 111
"
Indobit-A-NYT1983 - Oct 1 - Dec 31-226.txt,"Dr. Albert H. Aldridge, chief surgeon of gynecology and obstetrics at the Woman's Division of St. Luke's Hospital from 1938 to 1958, died Sunday at Moore Memorial Hospital in Pinehurst, N.C.",surgeon," 070
"
Indobit-A-NYT1983 - April 1 - June 30-172.txt,"Chester C. Davis, a New York lawyer who was one of the most influential aides of Howard Hughes, the reclusive billionaire industrialist, died Thursday at his thoroughbred-horse farm in Unadilla, N.Y. Mr. Davis, who also maintained an apartment in New York, was 72 years old.",lawyer," 110–111
"
