fn,firstSentence,confidence,codes
Indobit-A-NYT1986_1-500-366.txt, a scenic and costume designer for the dance and the theater,3.222154566744731,isco08-2654,isco08-2653,occ2000-263
Indobit-A-NYT1985 - Jan 1 - March 31-305.txt, a college dropout who became the driving force behind the growth of the Coca-Cola Company and built it into an international financial empire,5.0016864986414316,isco08-0,naics-61,isco08-1120
Indobit-A-NYT1981 - July 1 - Sep 30-329.txt," the crippled Irish author who wrote by typing with the little toe of his left foot, choked to death Sunday while having dinner at home in Parbrook, a village in Somerset",0.9644677943454099,isco08-2641,isco08-264,occ2000-285
Indobit-A-NYT1986_501-1000-496.txt," who built many residential developments in Suffolk County, L.I., after World War II",0.13666666666666666,isco08-1120,isco08-112,isco08-11
Indobit-A-NYT1983 - Oct 1 - Dec 31-350.txt, a boxer turned artist who painted President Franklin D. Roosevelt and other well-known people,1.4233814589665654,isco08-3421,isco08-2651,isco08-1111
Indobit-A-NYT1983 - July 1 - Sep 30-344.txt," former vice president in charge of sales for the Paper Novelty Manufacturing Company of New York City and Stamford, Conn., a producer of Christmas decorations",5.009167303284951,occ2000-385,occ2000-091,occ2000-093
Indobit-A-NYT1981 - Jan 1 - March 31-127.txt, superintendent of the United States Coast Guard Academy,1.128426966292135,isco08-1345,isco08-21,occ2000-371
Indobit-A-NYT1985 - April 1 - June 30-247.txt, a film and television actor,4.333395176252319,isco08-2655,isco08-2654,occ2000-270
Indobit-A-NYT1984_1001-1500-128.txt, chief of clinical psychiatry at the Manhattan Psychiatric Center on Wards Island,10.130889292196006,isco08-231,isco08-2310,isco08-2212
Indobit-A-NYT1981 - Jan 1 - March 31-54.txt, a prominent sociologist,1.2517531831537707,isco08-2632,054,occ2000-183
Indobit-A-NYT1983 - April 1 - June 30-311.txt, an agricultural economist and professor emeritus at Rutgers University,6.955809294268283,isco08-231,isco08-2631,occ2000-180
Indobit-A-NYT1983 - July 1 - Sep 30-195.txt, president of the Potash Company of America in Manhattan,22.67416563658838,isco08-1120,occ2000-001,isco08-12
Indobit-A-NYT1986_501-1000-45.txt, chief engineer of the New York Department of City Planning,2.6409556313993177,isco08-214,isco08-215,isco08-21
Indobit-A-NYT1987 - April 1 - June 30-325.txt," a former vice chairman of Ted Bates and Company, the advertising concern",15.204226110363392,occ2000-023,occ2000-043,occ2000-206
Indobit-A-NYT1984_501-1000-404.txt, executive editor of the papers of Alexander Hamilton and a former president of Brooklyn College,5.007929515418502,isco08-231,isco08-2642,isco08-1120
Indobit-A-NYT1981 - April 1 - June 30-417.txt, supervisor of audio operations for the CBS televison network,1.0528729666434584,isco08-143,naics-51,isco08-2655
Indobit-A-NYT1983 - July 1 - Sep 30-146.txt," former president and chairman of the Philco Corporation, who was a leader in the development and promotion of the car radio",12.35491655894613,isco08-1120,isco08-11,isco08-112
Indobit-A-NYT1980_501-904-157.txt," an author whose works included ''Revolution, 1776,'' a myth-debunking examination of the birth of the United States",1.1734500926565168,isco08-2641,isco08-264,occ2000-285
Indobit-A-NYT1984_1001-1500-258.txt," a New York lawyer and a senior director of the Guardian Life Insurance Company of America, on whose board he had served since 1931",1.052931942801849,isco08-1120,isco08-2611,150
Indobit-A-NYT1983 - April 1 - June 30-162.txt," an actor who appeared on Broadway, on television and in the movies",8.028525206137147,isco08-2655,naics-51,isco08-2654
Indobit-A-NYT1982_501-1000-125.txt, dean of the Hofstra University School of Business,6.140628683693516,isco08-2310,occ2000-023,isco08-1345
Indobit-A-NYT1985 - Oct 1 - Dec 31-18.txt, former associate dean for student counseling at the Massachusetts Institute of Technology,1.4701400560224087,isco08-1345,occ2000-205,occ2000-023
Indobit-A-NYT1987 - April 1 - June 30-311.txt, a business executive and former president of the Grocery Manufacturers of America,5.061996672212978,isco08-2655,occ2000-003,isco08-1120
Indobit-A-NYT1982_501-1000-456.txt, Secretary of the Navy in the Truman Administration,5.003472222222222,isco08-12,occ2000-826,KZ-Music
Indobit-A-NYT1983 - Oct 1 - Dec 31-317.txt, former vice president for personnel services and secretary of St. John's University in Queens,3.105047776786852,isco08-1120,occ2000-001,isco08-12
Indobit-A-NYT1986_501-1000-2.txt, a former executive editor of The Dallas Morning News whose journalism career spanned more than four decades,1.9434408602150537,isco08-2642,isco08-2641,isco08-264
Indobit-A-NYT1987 - April 1 - June 30-362.txt, a former advertising executive and an international lottery and sports betting consultant,1.7886571348472105,isco08-12,isco08-1120,isco08-1222
Indobit-A-NYT1982_501-1000-297.txt, a social psychologist and epidemiologist who pioneered in studying the relationship between stressful life events and the development of mental illness,1.3822285443338074,isco08-2634,occ2000-182,073
Indobit-A-NYT1986_501-1000-227.txt, the president of an international trading company who placed a number of newspaper advertisments expressing his opinions on public issues over two decades,0.9014839493591502,isco08-1120,naics-54,naics-31
Indobit-A-NYT1982_1001-1500-394.txt, a pioneer of psychoanalysis in Israel,1.0759503766061145,naics-62,isco08-1120,isco08-2641
Indobit-A-NYT1983 - Jan 1 - March 31-295.txt," who built a newspaper empire in Minneapolis and used it to fight for internationalism, education and religious tolerance",5.000986193293886,occ2000-215,naics-51,isco08-2642
Indobit-A-NYT1981 - April 1 - June 30-354.txt, a retired Family Court judge in Queens,1.067915567282322,occ2000-211,occ2000-593,isco08-2422
Indobit-A-NYT1984_501-1000-437.txt," retired regional director of Management Planning Inc. in Princeton, N.J., a securities evaluation concern",1.3968944996195196,isco08-12,isco08-1120,150
Indobit-A-NYT1986_501-1000-457.txt," the former exec-utive director of the News Election Service, a cooperative that collects and distributes returns for Presidential, gubernatorial and Congressional elections",0.9058132002665469,isco08-12,isco08-1120,isco08-1
Indobit-A-NYT1985 - Jan 1 - March 31-150.txt, former executive director of the Delaware River Basin Commission,24.22315514993481,isco08-1120,isco08-12,isco08-112
Indobit-A-NYT1983 - Jan 1 - March 31-393.txt, a leading arms control negotiator and former dean of the Georgetown University Law Center,10.737039598254713,isco08-2310,isco08-1120,isco08-12
Indobit-A-NYT1985 - Oct 1 - Dec 31-28.txt," who started radio station WWRL-AM in his living room in Woodside, Queens, in 1926 and went on to own three other stations as well",0.6019292856676034,KZ-Music,isco08-2652,naics-51
Indobit-A-NYT1980_501-904-149.txt, vice president and former editor in chief of Crown Publishers Inc.,3.835819529355511,isco08-1120,isco08-2642,isco08-2641
Indobit-A-NYT1983 - July 1 - Sep 30-351.txt, former dean of the Cathedral of St. John the Divine and rector of Trinity Parish in Manhattan from 1966 to 1971,1.2786703421436678,isco08-1345,occ2000-205,occ2000-023
Indobit-A-NYT1983 - Oct 1 - Dec 31-261.txt," a journalist and author of more than 100 books, including the comic novel ''The Mouse That Roared",13.388204773434799,isco08-2641,isco08-2642,occ2000-281
Indobit-A-NYT1982_1501-1630-33.txt, retired vice president of the Central Hanover Bank and Trust Company,4.090744091041728,isco08-1120,occ2000-001,isco08-112
Indobit-A-NYT1981 - Oct 1 - Dec 31-137.txt," a founder of Renfield Importers Ltd., a leading importer of wine and liquors",11.966551524077296,isco08-1120,isco08-112,isco08-1114
Indobit-A-NYT1984_1-500-59.txt, a leading pharmacologist,10.066134969325153,isco08-2641,isco08-2310,isco08-231
Indobit-A-NYT1980_501-904-114.txt, a longtime actress,2.133590033975085,isco08-2655,occ2000-270,isco08-1120
Indobit-A-NYT1982_501-1000-400.txt, president of Alixandre Furs Inc. of Manhattan and of Brookdale Hospital Medical Center,11.92616271251561,isco08-1120,isco08-112,isco08-1114
Indobit-A-NYT1986_1501-1568-32.txt," a career diplomat who specialized in Eastern Europe, was thrown out of Hungary at the height of the cold war and went on to write the draft of the human rights provisions of the Helsinki accords of 1975",5.35859604045851,isco08-1112,occ2000-202,isco08-1
Indobit-A-NYT1982_1-500-354.txt, a world-renowned chef who was the last student of the great French master Auguste Escoffier,0.9180236018898162,isco08-3434,occ2000-931,occ2000-374
Indobit-A-NYT1983 - April 1 - June 30-328.txt," the British musicologist and conductor who successfully revived neglected works by Handel, Purcell and Rameau",5.067731958762886,occ2000-023,isco08-1345,isco08-2652
Indobit-A-NYT1986_1001-1500-232.txt, for many years a New York rare book dealer and collector,15.205568181818181,occ2000-432,occ2000-421,occ2000-021
Indobit-A-NYT1981 - July 1 - Sep 30-191.txt, founder and musical director of the Friends of French Opera,4.24879443019421,isco08-1120,isco08-2654,isco08-112
Indobit-A-NYT1983 - July 1 - Sep 30-124.txt, an adviser to President Kennedy on Latin America and the dean of the Graduate School of Architecture and Urban Planning at the University of California at Los Angeles since 1968,0.4693235496445769,occ2000-205,occ2000-023,isco08-1345
Indobit-A-NYT1984_1-500-256.txt, a teacher and administrator at private schools for girls in Manhattan for 29 years,10.022346368715084,isco08-1120,isco08-1,isco08-12
Indobit-A-NYT1982_501-1000-305.txt, a retired executive with the City University of New York grants program,0.9710063819342171,isco08-1120,isco08-11,isco08-12
Indobit-A-NYT1981 - July 1 - Sep 30-403.txt, director of the New York Academy of Medicine since 1967,10.078724921979493,isco08-1345,isco08-12,occ2000-205
Indobit-A-NYT1984_501-1000-247.txt, the actress who portrayed Jennifer Beals's figure-skating friend in the 1983 film ''Flashdance,2.249331928547483,isco08-2655,occ2000-270,isco08-2654
Indobit-A-NYT1983 - April 1 - June 30-46.txt, a writer on society and the performing arts and a publicity agent for many prominent opera singers,1.4956625764172935,isco08-2641,152,KZ-Music
Indobit-A-NYT1983 - July 1 - Sep 30-7.txt, an international banker in New York City for more than three decades,0.937750756272614,occ2000-012,isco08-1120,occ2000-001
Indobit-A-NYT1985 - July 1 - Sep 30-143.txt, a freelance photographer whose work appeared in Life and Look magazines,1.8063066012002182,isco08-3431,143,isco08-2642
Indobit-A-NYT1981 - April 1 - June 30-365.txt," a partner in the Manhattan law firm of Gilbert, Segall & Young",2.040978120978121,isco08-2611,naics-54,isco08-112
Indobit-A-NYT1983 - Jan 1 - March 31-90.txt, former chief executive officer of the New York State Liquor Authority,3.048727343597739,isco08-1120,isco08-11,isco08-1
Indobit-A-NYT1980_1-500-332.txt, 83 years old and believed to be the country's oldest volunteer firefighter,5.008474576271187,occ2000-003,373,KZ-Music
Indobit-A-NYT1981 - Oct 1 - Dec 31-274.txt, executive director of the American Movement for World Government,4.413519813519813,isco08-1120,isco08-112,isco08-1114
Indobit-A-NYT1986_1001-1500-445.txt, a leading scholar of the Ming Dynasty and the Dean Lung professor emeritus of Chinese at Columbia University,10.317910447761195,isco08-2641,isco08-264,occ2000-285
Indobit-A-NYT1985 - July 1 - Sep 30-87.txt," the author of a book about Alfred Dreyfus, the French army officer wrongly accused of treason",1.4114288719985273,isco08-2641,isco08-1,occ2000-202
Indobit-A-NYT1982_501-1000-129.txt, a former president of the United Aircraft Service Corporation,2.5929001389103257,isco08-1120,isco08-11,isco08-112
Indobit-A-NYT1984_501-1000-370.txt, a documentary and commercial film maker,2.208301886792453,isco08-2654,naics-51,isco08-2655
Indobit-A-NYT1987 - Jan 1 - March 31-193.txt," head of Sanders A. Kahn Associates, a New York real-estate and financial consulting concern",10.006276150627615,isco08-2641,isco08-1120,isco08-112
Indobit-A-NYT1985 - July 1 - Sep 30-154.txt, retired general secretary of the John Milton Society for the Blind,1.0253908091123332,isco08-1219,isco08-11,isco08-2636
Indobit-A-NYT1982_1001-1500-317.txt," an economist who was a prolific author of books and articles on economic theory, inflation and unemployment",10.145236593059936,isco08-2310,isco08-231,isco08-2641
Indobit-A-NYT1987 - April 1 - June 30-88.txt, one of the foremost choreographers of the century and widely considered the master of the psychological ballet,10.808112120604168,isco08-2653,962,occ2000-274
Indobit-A-NYT1980_501-904-98.txt," a Manhattan Councilman at Large whose political career in state and city elective office was marked by vigorous advocacy and liberal positions on health, tenant and environmental issues",0.38402468848258997,occ2000-021,isco08-1120,isco08-1112
Indobit-A-NYT1981 - July 1 - Sep 30-376.txt, a trumpeter who played for Pancho Villa as a boy in Mexico and went on to appear before presidents and kings,0.6870333012316894,isco08-2655,occ2000-275,isco08-2652
Indobit-A-NYT1985 - Jan 1 - March 31-273.txt," a vice president of Dan River Inc., and president of the textile concern's Cotton Company subsidiary",3.979402307203197,isco08-1120,occ2000-001,isco08-112
Indobit-A-NYT1985 - April 1 - June 30-179.txt, a leading figure in American science fiction,0.010958904109589043,isco08-2641,occ2000-961,isco08-264
Indobit-A-NYT1982_1001-1500-330.txt, a painter and etcher,2.27722854188211,isco08-2651,isco08-231,isco08-0
Indobit-A-NYT1987 - April 1 - June 30-258.txt, who headed the United Nations armistice delegation in the Korean War,0.06261324041811847,isco08-231,isco08-11,isco08-1
Indobit-A-NYT1985 - April 1 - June 30-195.txt, the actress whose role as the cackling Wicked Witch of the West in ''The Wizard of Oz'' unnerved generations of children,1.331888500861211,isco08-2655,occ2000-270,isco08-2654
Indobit-A-NYT1987 - April 1 - June 30-265.txt, a peasant organizer and leader of the independence movement who in 1979 became India's fifth Prime Minister,6.236308916482177,occ2000-202,isco08-1112,KZ-Music
Indobit-A-NYT1982_1501-1630-66.txt, the internationally acclaimed Soviet violinist,6.131726384364821,occ2000-275,isco08-2652,KZ-Music
Indobit-A-NYT1985 - July 1 - Sep 30-94.txt, general manager of the New Music Distribution Service,1.072012012012012,isco08-1120,189,isco08-11
Indobit-A-NYT1985 - July 1 - Sep 30-239.txt, a businessman and former diplomat who commanded the United States military escort for the Japanese surrender delegation at the end of World War II,0.6022367602240271,occ2000-043,isco08-1120,isco08-0
Indobit-A-NYT1986_1-500-202.txt, a former director of the European office of the American Jewish Committee,1.7525505833702555,isco08-1120,isco08-1,150
Indobit-A-NYT1981 - Oct 1 - Dec 31-190.txt, a former official of the Job Corps,3.210100334448161,occ2000-023,occ2000-043,occ2000-206
