word,code(s)
agriculturist,occ2000-160
agronomist,"040, occ2000-160"
agronomists,040
agronomy teacher,occ2000-220
aide ,"occ2000-364, occ2000-460, occ2000-360, occ2000-461, occ2000-460, occ2000-155, occ2000-156"
aide engineer,occ2000-155
aide technician,occ2000-360
aide to prime minister,isco08-1112
aids counselor,"195, occ2000-200"
aids counselors,195
air analysis technician,occ2000-155
air analyst,occ2000-155
air and water filler,occ2000-962
air bag buffer,occ2000-865
air bag builder,occ2000-775
air bag curer,occ2000-872
air bag stripper,occ2000-896
air box tester,occ2000-874
air brake adjuster,occ2000-722
air brake man,occ2000-722
air brake mechanic,occ2000-722
air brake operator,occ2000-923
air brake rigger,occ2000-722
air brake tester,occ2000-941
air brakes inspector,occ2000-941
air breaker operator,occ2000-626
air brush artist,occ2000-883
air brush decorator,occ2000-881
air brush operator,occ2000-881
air cargo handling supervisor,occ2000-900
air chipper,occ2000-865
air compressor engineer,occ2000-861
air compressor mechanic,occ2000-722
air compressor operator,occ2000-861
air conditioner installer helper,occ2000-761
air conditioning and heating technician,007
air conditioning and heating technicians,007
air conditioning coil assembler,occ2000-773
air conditioning engineer,007
air conditioning engineers,007
air conditioning equipment sales,"occ2000-485, occ2000-476"
air conditioning installer ,occ2000-731
air conditioning mechanic,"occ2000-731, occ2000-720, occ2000-714"
air conditioning or heating duct installer,occ2000-652
air conditioning specialist,"occ2000-720, occ2000-731"
air conditioning supervisor,occ2000-700
air conditioning unit tester,occ2000-874
"air conditioning, heating, and refrigeration mechanic","637, 827, 862"
"air conditioning, heating, and refrigeration mechanics","637, 827, 862"
air deodorizer servicer,occ2000-735
air drier,occ2000-881
air drier machine operator,occ2000-881
air drill operator,occ2000-626
air duct mechanic,occ2000-652
air force association,naics-81
air grinder,occ2000-800
air gun operator,occ2000-626
air hammer operator,occ2000-626
air hoist operator,occ2000-956
air hole driller,occ2000-896
air hose coupler,occ2000-923
air lift operator,occ2000-956
air operations manager,occ2000-904
air plant engineer,occ2000-861
air pollution control engineer,occ2000-142
air pollution control technician,029
air pollution control technicians,029
air pollution inspector,occ2000-056
air pumper,occ2000-694
air purifier servicer,occ2000-422
air reduction equipment operator,occ2000-896
air route controller,occ2000-904
air route traffic controller,occ2000-904
air sampler,occ2000-874
air saw operator,occ2000-613
air shovel operator,occ2000-952
air table operator,"occ2000-793, occ2000-886"
air tester,occ2000-155
air tool operator,"occ2000-626, occ2000-896"
air traffic control specialist,occ2000-904
air traffic controller,"193, occ2000-904"
air traffic controllers,193
air traffic coordinator,occ2000-904
air traffic supervisor,occ2000-904
air tube releaser,occ2000-896
air value tester,occ2000-874
air valve mechanic,"occ2000-722, occ2000-730"
air valve repairer,"occ2000-722, occ2000-730"
aircraft accessories mechanic,occ2000-714
aircraft armament mechanic,occ2000-703
aircraft body repairer,occ2000-714
aircraft cabin cleaner,occ2000-961
aircraft cleaner,occ2000-961
aircraft cleaning supervisor,occ2000-900
aircraft communicator,occ2000-904
aircraft cylinder mechanic,occ2000-714
aircraft designer,occ2000-132
aircraft dispatcher,occ2000-552
aircraft electrician,occ2000-703
aircraft electronics,occ2000-703
aircraft engine assembler,occ2000-773
aircraft engine mechanic,occ2000-714
aircraft engine specialist,occ2000-714
aircraft engineer,occ2000-132
aircraft equipment and parts sales,occ2000-485
aircraft hydraulic equipment mechanic,occ2000-644
aircraft instrument engineer,occ2000-132
aircraft instrument mechanic,occ2000-703
aircraft instrument tester,occ2000-874
aircraft landing gear inspector,occ2000-941
aircraft lay out worker,occ2000-816
aircraft log clerk,occ2000-560
aircraft machinist,occ2000-803
aircraft machinist helper,occ2000-895
aircraft magneto mechanic,occ2000-714
aircraft maintenance supervisor,occ2000-700
aircraft mechanic,"621, 806, occ2000-714"
aircraft mechanics,"621, 806"
aircraft metalsmith,occ2000-652
aircraft ordnance technician,occ2000-683
aircraft painter,"occ2000-881, occ2000-881"
aircraft parts assembler,occ2000-771
aircraft photographic equipment mechanic,occ2000-743
aircraft pilot,occ2000-903
aircraft plumbing and hydraulic mechanic,occ2000-644
aircraft power plant assembler,occ2000-773
aircraft rigging and controls mechanic,occ2000-714
aircraft riveter,occ2000-771
aircraft sales,occ2000-485
aircraft steel fabricator,occ2000-714
aircraft stress analyst,occ2000-132
aircraft structure mechanic,occ2000-714
aircraft structures and surfaces assembler,occ2000-771
aircraft worker ,occ2000-714
airfield manager,occ2000-904
airfield services officer,occ2000-904
airflight attendants supervisor,occ2000-432
airframe and power plant mechanic,occ2000-714
airframe and power plant mechanic apprentice,occ2000-714
airframe and power plant mechanic helper,occ2000-761
airframe mechanic,occ2000-714
airframe technician,occ2000-714
airfreight loading supervisor,occ2000-900
airline baggage and freight handler,"357, 912, 919"
airline baggage and freight handlers,"357, 912, 919"
airline captain,occ2000-903
airline dispatcher,912
airline dispatchers,912
airline flight attendant,352
airline flight attendants,352
airline hostess,occ2000-455
airline lounge receptionist,occ2000-455
airline manager,occ2000-016
airline pilot,occ2000-903
airline radio operator,occ2000-290
airline reservations agent,238
airline reservations agents,238
airline security representative,occ2000-386
airline station agent,occ2000-541
airline stewardess,occ2000-455
airline supervisor,occ2000-500
airline ticket agent,238
airline ticket agents,238
airman,"occ2000-722, occ2000-623"
airplane charter clerk,occ2000-474
airplane cleaner,occ2000-961
airplane cover maker,occ2000-846
airplane coverer,occ2000-846
airplane designer,occ2000-132
airplane dispatch clerk,occ2000-552
airplane electrician,"occ2000-703, occ2000-703"
airplane engineer,occ2000-132
airplane flight attendant,occ2000-455
airplane flight attendant supervisor,occ2000-432
airplane fueler,occ2000-735
airplane inspector,occ2000-941
airplane mechanic,occ2000-714
airplane mechanic apprentice,occ2000-714
airplane patroller,occ2000-903
airplane pilot,"196, occ2000-903"
airplane pilot helper,occ2000-942
airplane pilot supervisor,occ2000-900
airplane pilots,196
airplane refueler,occ2000-735
airplane rigger,occ2000-714
airplane tester,occ2000-714
airplane woodworker,occ2000-855
airport electrician,occ2000-635
airport engineer,occ2000-136
airport maintenance chief,occ2000-700
airport maintenance laborer,occ2000-962
airport manager,"184, occ2000-016"
airport managers,184
airport traffic controller,occ2000-904
airport utility worker,912
airport utility workers,912
airveyor operator,occ2000-965
airway controller,occ2000-904
airway traffic controller,occ2000-904
airways control specialist,occ2000-904
airways operations specialist,occ2000-904
alarm adjuster,occ2000-713
alarm investigator,"occ2000-392, occ2000-392"
alarm operator,"occ2000-552, occ2000-552, occ2000-385"
alarm signaler,occ2000-582
albert einstein college of medicine,naics-61
album,KZ-Music
alcohol rubber,occ2000-363
alcoholic counselor,occ2000-200
alcoholism worker,occ2000-201
alderman,occ2000-003
aldwych theater,naics-71
alemite operator,occ2000-735
alfalfa dehydrator operator,occ2000-872
algebra teacher,"occ2000-232, occ2000-220, occ2000-234"
algebraist,occ2000-121
algologist,occ2000-161
algology teacher,occ2000-220
aligner,occ2000-701
alignment specialist,occ2000-720
alining inspector,occ2000-874
alixandre furs inc.,
all around butcher,occ2000-781
all around worker,occ2000-896
all-round logger,occ2000-613
all-round machinist,600
all-round machinists,600
allergist,occ2000-306
alley boy or man ,"occ2000-443, occ2000-422"
alley cleaner,occ2000-422
alligator hunter,occ2000-611
alligator trapper,occ2000-611
allopathic doctor,occ2000-306
alloy weigher,occ2000-874
allstate insurance company,naics-52
almond blancher operator,occ2000-864
almond paste mixer,occ2000-784
almond paste molder,occ2000-892
alodize machine operator,occ2000-820
alpine guide,occ2000-454
alteration hand ,"occ2000-832, occ2000-835"
alteration manager,occ2000-835
alteration tailor,occ2000-835
alteration worker,occ2000-850
"alterationist--see ""alteration hand""",occ2000-
alterations,occ2000-835
alterations workroom clerk,occ2000-560
"alterer--see ""alteration hand""",occ2000-
altitude chamber technician,occ2000-155
alto,KZ-Music
alum operator,occ2000-865
alum plant supervisor,occ2000-770
alumina plant supervisor,occ2000-770
aluminum boat assembly supervisor,occ2000-770
aluminum boats assembler,occ2000-775
aluminum can collector,occ2000-962
aluminum fabrication supervisor,occ2000-770
aluminum molder,occ2000-810
aluminum pool installer,occ2000-676
aluminum shingle roofer,occ2000-651
aluminum siding applicator,occ2000-623
aluminum siding installer,occ2000-623
aluminum siding mechanic,occ2000-623
aluminum welder,occ2000-814
amalgamator,occ2000-864
ambassador,isco08-1112
ambulance attendant,occ2000-911
ambulance dispatcher,occ2000-552
ambulance driver,"375, 913"
ambulance driver ,occ2000-911
ambulance driver-paramedic,occ2000-340
ambulance drivers,"375, 913"
ambulance mechanic,occ2000-720
ambulatory care coordinator,occ2000-313
american book-stratford press inc,naics-51
american council of learned societies,naics-81
american dental association,naics-62
american president lines,naics-48
american red cross,naics-81
american shakespeare festival,naics-71
american theater,isco08-2641
americanization teacher,occ2000-234
ammonia box operator,occ2000-836
ammonia box tender,occ2000-836
ammonia distiller,occ2000-864
ammonia nitrate operator,occ2000-864
ammonia still operator,occ2000-864
ammonia worker,occ2000-865
ammunition components inspector,occ2000-874
ammunition inspector,occ2000-056
