word,code(s)
grease buffer,occ2000-865
grease cup filler,occ2000-735
grease maker ,occ2000-865
grease man,"occ2000-936, occ2000-735"
grease monkey,"occ2000-936, occ2000-735"
grease packer,occ2000-735
grease rack worker,occ2000-936
grease refiner operator,occ2000-864
grease refining supervisor,occ2000-770
grease renderer,occ2000-896
greaser,"occ2000-735, occ2000-896, occ2000-722, occ2000-936"
greaser helper,occ2000-895
greaser operator,occ2000-846
great atlantic and pacific tea compny,naics-44
greece,naics-92
greek plays,naics-71
green chain boss,occ2000-600
green chain off bearer,occ2000-963
green chain operator,occ2000-963
green chain puller,occ2000-963
green chain worker,occ2000-963
green chainer,occ2000-963
green end dept. supervisor,occ2000-770
green end man,occ2000-896
green ware caster,occ2000-896
greenhouse assistant,occ2000-605
greenhouse florist,"occ2000-020, occ2000-021"
greenhouse helper,occ2000-605
greenhouse laborer,occ2000-605
greenhouse manager,"occ2000-020, occ2000-021"
greenhouse or nursery transplanter,occ2000-605
greenhouse superintendent,occ2000-600
greenhouse supervisor,occ2000-600
greenhouse worker,"occ2000-605, occ2000-425"
greens cutter,occ2000-425
greens laborer,occ2000-425
greens or grounds superintendent,occ2000-421
greens picker,occ2000-612
greens tier,"occ2000-612, occ2000-964"
greenskeeper ,occ2000-425
greenskeeper laborer,occ2000-425
greenskeeper supervisor,occ2000-421
greensman,occ2000-425
greenstone polisher operator,occ2000-865
greeter,"occ2000-465, occ2000-496, occ2000-490"
greeting-card writers,isco08-2641
grey goods examiner,occ2000-874
grey goods marker,occ2000-562
grey goods tester,occ2000-192
grey iron molder,occ2000-810
grey percher,occ2000-846
grey roll man,occ2000-896
grey stock recorder,occ2000-563
grey tender,occ2000-846
grey washer,occ2000-846
grid caster,occ2000-792
grid maker,occ2000-792
grid molder,occ2000-792
grid operator,occ2000-772
grid trimmer,occ2000-775
gridcap machine operator,occ2000-896
griddle attendant,occ2000-402
grill attendant,occ2000-402
grill cook,occ2000-402
grinder ,"occ2000-896, occ2000-865, occ2000-876"
grinder  or other specified,occ2000-800
grinder chipper,occ2000-865
grinder machine setter,occ2000-800
grinder mill operator,occ2000-865
grinder operator,"occ2000-865, occ2000-800"
grinder set up operator,occ2000-800
grinder tender,occ2000-865
grinding and spraying supervisor,occ2000-770
grinding supervisor,occ2000-770
grinding wheel dresser,occ2000-800
grinding wheel facer,occ2000-800
grinding wheel inspector,occ2000-874
grinding wheel operator,occ2000-800
grip,occ2000-962
grip boss,occ2000-900
gripper installer,occ2000-846
gripper machine operator,occ2000-846
gristmill operator,occ2000-865
gristmiller,occ2000-865
grit blaster,"occ2000-961, occ2000-626, occ2000-865"
gritter,occ2000-865
gritting machine operator,occ2000-865
grizzlyman,occ2000-694
grocer,occ2000-470
grocery boy,occ2000-913
grocery caddy,occ2000-962
grocery carrier,occ2000-962
grocery check out,occ2000-472
grocery checker,occ2000-472
grocery clerk ,occ2000-562
grocery manufacturers of america,naics-81
grocery manufacturers trade association,naics-81
grocery sacker,occ2000-962
grocery store courtesy clerk,occ2000-964
grocery store manager,occ2000-470
grommet machine operator,occ2000-846
grommet man,occ2000-626
groover,"occ2000-834, occ2000-871"
groover operator,"occ2000-834, occ2000-871"
groover runner,"occ2000-834, occ2000-871"
grooving lathe tender,occ2000-801
grooving machine operator,"occ2000-834, occ2000-871"
ground boss,occ2000-620
ground control approach technician,occ2000-904
ground crew chief,occ2000-700
ground crew linesman,occ2000-741
ground crew supervisor,occ2000-900
ground crewman,"occ2000-425, occ2000-612"
ground hand,occ2000-626
ground host/hostess,occ2000-455
ground layer,occ2000-881
ground maintenance superintendent,occ2000-421
ground maintenance supervisor,occ2000-421
ground mixer,occ2000-865
ground operations superintendent,occ2000-904
ground radio operators and teletypist,193
ground radio operators and teletypists,193
ground school instructor,occ2000-220
ground wirer,occ2000-635
groundman,"occ2000-694, occ2000-613, occ2000-605, occ2000-626"
grounds caretaker,"occ2000-425, occ2000-425"
grounds cleaner,"occ2000-425, occ2000-425"
groundskeeper  or any activity,occ2000-425
groundskeeper flower planter,occ2000-425
groundskeeper supervisor,occ2000-421
groundskeeping maintenance,occ2000-425
groundskeeping manager,occ2000-421
groundskeeping yardman,occ2000-425
groundsman,"occ2000-762, occ2000-626, occ2000-425"
group chief operator,occ2000-500
group insurance specialist,occ2000-481
group leader ,"occ2000-481, occ2000-462, occ2000-600, occ2000-770"
group manager,occ2000-043
group sales representative,occ2000-484
group social worker,occ2000-201
group tester,occ2000-182
group worker,"occ2000-462, occ2000-202"
grout machine operator,occ2000-626
groutman,occ2000-626
grove superintendent,occ2000-600
grove worker,occ2000-605
grubber,occ2000-605
grunt,occ2000-626
guard ,"occ2000-380, occ2000-392"
guard chief,"occ2000-370, occ2000-373"
guard driver,occ2000-392
guard entrance registrar,occ2000-540
guard rail installer,occ2000-653
guard range,occ2000-383
guard supervisor,"occ2000-370, occ2000-373"
guardian family member,occ2000-461
guardian life insurance company,naics-52
guest services,occ2000-530
guidance adviser,occ2000-200
guidance and control system engineer,occ2000-141
guidance counselor,occ2000-200
guide ,occ2000-454
guide changer,occ2000-846
guide setter,occ2000-794
guideman,occ2000-962
guider,occ2000-963
guillotine operator,occ2000-871
guillotine trimmer,occ2000-871
guitar,KZ-Music
guitar player,occ2000-275
gulf and western industries,naics-21
gullet slitter,occ2000-781
gum cook,occ2000-785
gum dipper,occ2000-612
gum machine filler,occ2000-751
gum machine operator,occ2000-785
gum maker,occ2000-785
gum mixer,occ2000-865
gum puller,occ2000-896
gum remover,occ2000-896
gum rolling machine operator,occ2000-865
gum worker,occ2000-846
gummer,occ2000-885
gumming machine operator,occ2000-885
gun barrel finisher,occ2000-865
gun club manager,occ2000-043
gun fertilizer,occ2000-605
gun fitter,occ2000-762
gun mechanic,occ2000-762
gun perforator,occ2000-683
gun perforator loader,occ2000-683
gun profiler,occ2000-801
gun stock checker,occ2000-855
gun stock maker,occ2000-855
gun stocker,occ2000-896
gun synchronizer,occ2000-762
gun tester,"occ2000-155, occ2000-762"
gun welder,occ2000-814
gunite mixer,occ2000-865
gunite nozzle operator,occ2000-865
gunner,"occ2000-610, occ2000-783"
gunsmith,"632, occ2000-762"
gunsmith apprentice,occ2000-762
gunsmiths,632
gusset edger,occ2000-832
gusset maker,occ2000-896
gusset stitcher,occ2000-832
gut carrier,occ2000-896
gut cleaner,occ2000-781
gut dropper,occ2000-781
gut puller,occ2000-781
gut snatcher,occ2000-781
gutter,occ2000-781
gutter hanger,occ2000-652
gutter installer,occ2000-652
gutterman,occ2000-613
guyline operator,occ2000-632
guzzler builder,occ2000-653
gym attendant,occ2000-443
gymnasium teacher,"occ2000-232, occ2000-220, occ2000-272"
gynecological assistant,occ2000-311
gynecologist,occ2000-306
gynecology teacher,occ2000-220
gypsum block setter,occ2000-622
gypsum roofer,occ2000-651
gyro compass tester,occ2000-743
gyro mechanic,occ2000-743
gyroscope repairer,occ2000-743
gyroscope technician,occ2000-155
gyroscopic instrument mechanic,occ2000-743
gyroscopic instrument tester,occ2000-743
haberdasher,occ2000-476
hack driver,"occ2000-914, occ2000-975"
hack saw operator,occ2000-795
hacker,"occ2000-963, occ2000-914, occ2000-612"
hackler,occ2000-896
hair boiler,occ2000-846
hair boiler operator,occ2000-846
hair colorist,occ2000-451
hair cutter,"occ2000-450, occ2000-451"
hair designer,occ2000-451
hair dryer,occ2000-846
hair machine operator,occ2000-846
hair mixer,occ2000-865
hair specialist,occ2000-451
hair spinner,occ2000-963
hair spinning machine operator,occ2000-963
hair spring cutter,occ2000-775
hair spring winder,occ2000-822
hair stylist,occ2000-451
hair weaver,occ2000-775
hairdresser,occ2000-451
hairspring adjuster,occ2000-775
hairspring assembler,occ2000-775
hairspring fabrication supervisor,occ2000-770
hairspring inspector,occ2000-874
hairspring setter,occ2000-775
hairspring staker,occ2000-775
hairspring truer,occ2000-775
hairspring vibrator,occ2000-775
half backer,occ2000-834
half sole fitter,occ2000-834
halftone operator,occ2000-825
hall cleaner,occ2000-422
hall clerk,occ2000-530
hall girl,occ2000-423
hall monitor,"occ2000-460, occ2000-395"
hall of fame,isco08-3421
hall porter,occ2000-453
hall tender,occ2000-392
ham boner,occ2000-781
ham clerk,occ2000-563
ham curer,occ2000-783
ham doctor,occ2000-886
ham facer,occ2000-781
ham marker,occ2000-896
ham passer,occ2000-896
ham pumper,occ2000-886
ham rolling machine operator,occ2000-880
ham sawyer,occ2000-781
ham smoker,occ2000-783
ham stringer,occ2000-896
ham stripper,occ2000-781
ham trimmer,occ2000-781
hammer driver,occ2000-793
hammer fitter,occ2000-896
hammer mill operator,"occ2000-865, occ2000-605, occ2000-795"
hammer operator,occ2000-793
hammer runner,occ2000-793
hammer setter,occ2000-875
hammerer helper,"occ2000-895, occ2000-693, occ2000-660"
hammerman,"occ2000-694, occ2000-623"
hammersmith,"occ2000-793, occ2000-875"
hammersmith helper,occ2000-895
hand ,"occ2000-936, occ2000-896, occ2000-605, occ2000-605, occ2000-694"
hand \ any other specified--code by occupation,occ2000-
hand bander,"occ2000-964, occ2000-881"
hand base ply,occ2000-896
hand baseball sewer,occ2000-835
hand basket braider,occ2000-896
hand basket maker,occ2000-896
hand basket weaver,occ2000-896
hand bender,occ2000-892
hand binder stripper,occ2000-896
hand bindery assembly worker,occ2000-823
hand blocker,occ2000-896
hand box coverer,occ2000-896
hand box folder,occ2000-892
hand brush filler,occ2000-896
hand buffer,"occ2000-865, occ2000-865"
hand buffing wheel former,occ2000-892
hand bulldozer,occ2000-775
hand bunch maker,occ2000-892
hand button splitter,occ2000-896
hand candle dipper,occ2000-881
hand candle molder,occ2000-892
hand candy cutter,occ2000-896
hand carver,"occ2000-855, occ2000-855"
hand cell tuber,occ2000-775
hand cementer,occ2000-896
hand cigar maker,occ2000-892
hand compositor,occ2000-825
hand compositor and typesetter,occ2000-825
hand coper,occ2000-871
hand coremaker,occ2000-810
hand crown pouncer,occ2000-896
hand cultivator,occ2000-605
hand cutter,occ2000-871
hand decorator,occ2000-881
hand edge bander,occ2000-896
hand endband cutter,occ2000-896
hand etcher,"occ2000-891, occ2000-825, occ2000-891"
hand finisher,occ2000-835
hand finisher ,occ2000-835
hand flatwork finisher,occ2000-831
hand former,occ2000-810
hand funnel coater,occ2000-881
hand grinder,occ2000-865
hand hardener,occ2000-896
hand hose cutter,occ2000-871
hand icer,occ2000-881
hand ironer,occ2000-831
hand knitter,occ2000-835
hand lacer,occ2000-846
hand leather trimmer,occ2000-871
hand loom weaver,occ2000-835
hand marker,occ2000-896
hand meat salter,occ2000-896
hand mixer,occ2000-896
hand molder,"occ2000-892, occ2000-892"
hand molder and caster,occ2000-892
hand molders and casters,occ2000-892
hand mounter,occ2000-871
hand nailer,occ2000-896
hand offsetting machine,occ2000-590
hand packer,"occ2000-892, occ2000-964"
hand packer/packager,occ2000-964
hand paint mixer,occ2000-896
hand painter,"occ2000-881, occ2000-881"
hand paster,occ2000-896
hand patcher,occ2000-896
hand pattern marker,occ2000-896
hand picker,"occ2000-605, occ2000-846"
hand plug shaper,occ2000-964
hand polisher,occ2000-865
hand presser,occ2000-831
hand salter,occ2000-896
hand sander,occ2000-865
hand screen printer,occ2000-891
hand scudder,occ2000-896
hand sewer,"occ2000-835, occ2000-835"
hand shaper,occ2000-892
hand sign writer,occ2000-881
hand silvering supervisor,occ2000-770
hand singer,occ2000-964
hand sizer,occ2000-846
hand slitter,"occ2000-781, occ2000-871"
hand sprayer,occ2000-425
hand spring former,occ2000-810
hand stamper,occ2000-896
hand stapler,occ2000-896
hand stitcher,occ2000-835
hand stone polisher,occ2000-865
hand stoner,occ2000-896
hand striper,occ2000-881
hand stripper,occ2000-896
hand suture winder,occ2000-896
hand tennis ball coverer,occ2000-896
hand tile maker,occ2000-892
hand tool lapper,occ2000-821
hand touch up painter,occ2000-881
hand trimmer,occ2000-871
hand trucker,occ2000-975
hand weaver,"occ2000-835, occ2000-835"
hand wood sander,occ2000-865
hand wrapper operator,occ2000-892
handbag finisher,occ2000-832
handbag framer,occ2000-775
handbag operator,occ2000-775
handbag stitcher,occ2000-832
handbook writer,occ2000-284
hander in,occ2000-846
handicapped teacher,"occ2000-233, occ2000-233, occ2000-233"
handicapped--code by occupation reported,occ2000-
handicapper,"occ2000-272, occ2000-276"
handkerchief folder,occ2000-964
handkerchief maker,occ2000-832
handle attacher,occ2000-896
handle machine operator,occ2000-885
handle maker,occ2000-892
handle turner,occ2000-896
handler,occ2000-896
handtools repairer,occ2000-762
handwriting expert,occ2000-196
handy worker,occ2000-830
handyman ,"occ2000-962, occ2000-605, occ2000-605, occ2000-694, occ2000-626, occ2000-896, occ2000-422, occ2000-936, occ2000-930"
hangar attendant,occ2000-962
hanger,"occ2000-830, occ2000-962"
hanger off,occ2000-962
hangerman,occ2000-644
hangersmith,occ2000-816
hanging flags decorator,occ2000-676
hanker,"occ2000-842, occ2000-896"
harbor master,occ2000-371
harbor patrol police,occ2000-385
harbor pilot,"occ2000-931, occ2000-931"
harbor police launch commander,occ2000-371
hard rock miner ,occ2000-684
hard tile setter,occ2000-624
hard tile setter apprentice,occ2000-624
hardboard supervisor,occ2000-770
hardener ,"occ2000-815, occ2000-775"
hardener helper,occ2000-895
hardness inspector,occ2000-874
hardness tester,"occ2000-155, occ2000-874"
hardware installer,occ2000-775
hardware sales,"occ2000-476, occ2000-485"
hardwood finisher,"occ2000-851, occ2000-624"
hardwood floor installer,occ2000-623
hardwood floor layer,"occ2000-623, occ2000-623"
harmonic analyst,occ2000-124
harmonica,KZ-Music
harmonica maker,occ2000-775
harness brusher,occ2000-961
harness builder,"occ2000-841, occ2000-771"
harness cleaner,occ2000-961
harness cutter,occ2000-846
harness fitter,occ2000-896
harness inspector,occ2000-874
harness installer,occ2000-771
harness mender,occ2000-846
harness placer,occ2000-841
harness puller,occ2000-874
harness rigger,occ2000-775
harness worker,"occ2000-841, occ2000-896"
harnessmaker,"occ2000-775, occ2000-833"
harnessmaker apprentice,occ2000-833
harp,KZ-Music
harpist,occ2000-275
harpooner,occ2000-610
harvard law school,naics-61
harvest crew supervisor,occ2000-600
harvest field ticketer,occ2000-563
harvester,occ2000-605
harvester operator,"occ2000-605, occ2000-694, occ2000-684"
harvesting contractor,occ2000-600
harvesting supervisor,occ2000-020
hash slinger,occ2000-402
hasher,"occ2000-871, occ2000-402"
hasher machine operator,occ2000-871
hat and cap drying room attendant,occ2000-896
hat and cap opener,occ2000-963
hat binder,occ2000-832
hat block maker,occ2000-855
hat blocker,occ2000-830
hat blocking machine operator,occ2000-846
hat body sorter,occ2000-874
hat checker,occ2000-443
hat cleaner,occ2000-830
hat copyist,occ2000-846
hat cutter,occ2000-840
hat designer,occ2000-263
hat finisher,occ2000-846
hat former,"occ2000-830, occ2000-846"
hat forming machine feeder,occ2000-963
hat ironer,occ2000-831
hat liner,occ2000-832
hat lining blocker,occ2000-831
hat maker,occ2000-846
hat mender,occ2000-835
hat model,occ2000-490
hat presser,occ2000-831
hat renovator,occ2000-830
hat sizer,"occ2000-830, occ2000-846"
hat sprayer,occ2000-881
hat steamer,occ2000-831
hat trimmer,"occ2000-846, occ2000-832"
hatch boss,occ2000-900
hatch supervisor,occ2000-900
hatch tender,occ2000-962
hatchery attendant,occ2000-605
hatchery employee,occ2000-605
hatchery helper,occ2000-605
hatchery laborer,occ2000-605
hatchery man ,"occ2000-605, occ2000-605, occ2000-020"
hatchery manager,"occ2000-020, occ2000-021"
hatchery worker ,occ2000-605
hatter,"occ2000-830, occ2000-846"
haul cane brakeman,occ2000-605
haul cane crew chief,occ2000-600
haulage engine operator,occ2000-920
hauler,"occ2000-913, occ2000-960, occ2000-975"
hauling contractor,occ2000-900
hawker,occ2000-495
hay baler,occ2000-605
hay buckler,"occ2000-605, occ2000-605"
hay chopper,occ2000-605
hay rake operator,occ2000-605
hay stacker,"occ2000-605, occ2000-605"
hazard waste handler,occ2000-672
hazardous material specialist,occ2000-672
hazardous waste management control engineer,occ2000-142
hazardous waste management specialist,occ2000-354
hazardous waste management technician,955
hazardous waste management technicians,955
hazardous waste remover,occ2000-672
head \ any other specified--code by occupation,occ2000-
head animal keeper,occ2000-600
head baker,occ2000-780
head bander and liner operator,occ2000-826
head banquet waiter/waitress,occ2000-411
head bookkeeper,occ2000-500
head bucker,occ2000-600
head butler,occ2000-432
head cashier,"occ2000-500, occ2000-472"
head charger,occ2000-804
head chef,"occ2000-400, occ2000-400"
head chopper,occ2000-600
head control clerk,occ2000-500
head cook ,"occ2000-780, occ2000-400, occ2000-770"
head cutter,occ2000-835
head gate attendant,occ2000-392
head grease maker,occ2000-770
head greenskeeper,occ2000-421
head grinder,occ2000-865
head holder,occ2000-781
head host/hostess,occ2000-465
head housekeeper,occ2000-420
head ironer,occ2000-831
head irrigator,occ2000-600
head knitting machine fixer,occ2000-770
head lineman,occ2000-700
head loader,occ2000-600
head loft worker,occ2000-770
head machine feeder,occ2000-963
head miller,occ2000-865
head mixer,occ2000-784
head nurse,occ2000-313
head of commission department,occ2000-471
"head of department--see ""department head""",occ2000-
head pastry chef,occ2000-400
head pastry chief,occ2000-400
head porter baggage,occ2000-453
head pumper,occ2000-965
head rigger,occ2000-600
head rose grower,occ2000-600
head sampler,occ2000-770
head sawyer,"occ2000-853, occ2000-600"
head screen worker,occ2000-896
head setter,occ2000-825
head shipper,occ2000-550
head silverman,occ2000-401
head start director,occ2000-023
head start teacher,occ2000-230
head still operator,occ2000-864
head stock transfer clerk,occ2000-500
head sugar reprocess operator,occ2000-770
head swamper,occ2000-600
head teller,occ2000-500
head trimmer,occ2000-781
head turbine operator,occ2000-770
head usher,occ2000-442
head waiters and waitresse,311
head waiters and waitresses,311
head well puller,occ2000-770
head wood grinder,occ2000-770
head worker,occ2000-202
header,"occ2000-781, occ2000-900, occ2000-896, occ2000-804, occ2000-854"
header boss,occ2000-620
header machine operator,occ2000-793
header operator,occ2000-793
header up,occ2000-896
heading machine operator,occ2000-854
heading maker,occ2000-896
heading pinner,occ2000-854
heading up machine operator,"occ2000-896, occ2000-853"
headlight adjuster,occ2000-720
headlight assembler,occ2000-772
headline writer,occ2000-281
headliner installer,occ2000-775
headman,"occ2000-975, occ2000-923"
headmaster,occ2000-023
headwaiter,occ2000-411
headwaitress,occ2000-411
health administration teacher,occ2000-220
health administrator,occ2000-035
health aide,occ2000-360
health assessment and treatment teacher,occ2000-220
health care administrator,"187, occ2000-035"
health care administrators,187
health care aide,occ2000-360
health care social worker,occ2000-201
health club manager,occ2000-432
health commissioner,occ2000-001
health diagnostics teacher,occ2000-220
health director,occ2000-035
health education aide,occ2000-365
health education director,occ2000-023
health education teacher,occ2000-220
health educator,occ2000-202
health equipment servicer,occ2000-365
health information specialist,occ2000-351
health inspector,occ2000-354
health officer,isco08-2263
health physicist ,occ2000-170
health program analyst,occ2000-071
health program specialist,occ2000-071
health psychologist,occ2000-182
health record technician,occ2000-351
health records technology teacher,occ2000-220
health sanitarian,occ2000-354
health science writer,occ2000-284
health service coordinator,occ2000-354
health spa sales,occ2000-484
health teacher,"occ2000-232, occ2000-220, occ2000-234"
health technical writer,occ2000-284
health type technician,occ2000-353
health unit supervisor,occ2000-313
hearing aid consultant,occ2000-353
hearing aid fitter,occ2000-353
hearing aid mechanic,occ2000-743
hearing aid repairer,occ2000-743
hearing aid specialist,occ2000-353
hearing aid technician,"occ2000-353, occ2000-743"
hearing aids sales,occ2000-476
hearing dog trainer,occ2000-434
hearing examiner,occ2000-211
hearing officer,occ2000-211
hearing stenographer,occ2000-593
hearing therapist,occ2000-314
hearing therapy teacher,occ2000-220
hearings reporter,occ2000-215
hearse driver,occ2000-914
heart specialist,occ2000-306
hearth feeder,occ2000-804
heat curer,occ2000-963
heat engineering teacher,occ2000-220
heat reader,occ2000-793
heat regulator,occ2000-815
heat sealing machine operator,occ2000-885
heat transfer technician,occ2000-155
heat treat inspector,occ2000-874
heat treat operator,occ2000-815
heat treat supervisor,occ2000-770
heat treater,occ2000-815
heat treater apprentice,occ2000-815
heat treater helper,occ2000-895
heat treating bluer,occ2000-815
heat treating furnace tender,occ2000-815
heat treating operator,occ2000-815
heater,"occ2000-815, occ2000-860"
heater engineer helper,occ2000-895
heater helper,occ2000-895
heater installer,"occ2000-720, occ2000-731"
heater planer operator,occ2000-632
heater room helper,occ2000-895
heater tender,occ2000-873
heating and blending supervisor,occ2000-770
heating and ventilating worker,occ2000-861
heating equipment and supplies sales,"occ2000-485, occ2000-476"
heating equipment installer,occ2000-731
heating equipment setter/set up operator,occ2000-815
heating operators of heating systems engineer,occ2000-861
heating plant superintendent,occ2000-770
heating repair technician,occ2000-731
heating systems installer,occ2000-731
heating technician repairer,occ2000-731
heating unit installer,occ2000-644
heating unit mechanic,occ2000-731
heavy construction contractor,182
heavy construction contractors,182
heavy equipment operator,859
heavy equipment operator ,"occ2000-632, occ2000-975"
heavy equipment operator \ equipment specified--code by type of equipment operated,occ2000-
heavy equipment operators,859
heavy forger,occ2000-793
heavy forging machine operator,occ2000-793
heavy repairer,occ2000-721
heavy road construction equipment operator,occ2000-632
heavy truck driver,occ2000-913
hebraic and arabic scholar,isco08-263
hebrew teacher,"occ2000-232, occ2000-220, occ2000-234"
heddler,occ2000-846
heddler tier,occ2000-841
hedge trimmer,occ2000-425
heel attacher,occ2000-834
heel blacker,occ2000-834
heel breaster,occ2000-834
heel builder,occ2000-834
heel burnisher,occ2000-834
heel caser,occ2000-834
heel cementer,occ2000-834
heel compressor,occ2000-834
heel coverer,occ2000-834
heel coverer machine operator,occ2000-834
heel curver,occ2000-834
heel cutter,occ2000-834
heel dipper,occ2000-834
heel gouger,occ2000-834
heel gummer,occ2000-834
heel layer,occ2000-834
heel nailing machine operator,"occ2000-854, occ2000-834"
heel packer,occ2000-964
heel padder,occ2000-834
heel painter,occ2000-834
heel pricker,occ2000-834
heel sander,occ2000-834
heel scourer,occ2000-834
heel seat fitter,occ2000-834
heel seat laster,occ2000-834
heel seater,occ2000-834
heel sewer,occ2000-834
heel shaper,occ2000-834
heel shaver,occ2000-834
heel slugger,occ2000-834
heel sorter,occ2000-874
heel sprayer,occ2000-834
heel stainer,occ2000-834
heel stiffener,occ2000-834
heel trimmer,occ2000-834
heel turner,occ2000-834
heel varnisher,occ2000-834
heeler,occ2000-834
heliarc welder,occ2000-814
helicopter engineer,occ2000-132
helicopter pilot,occ2000-903
heliotherapist,occ2000-326
helium arc welder,occ2000-814
helmet coverer,occ2000-846
helminthology teacher,occ2000-220
help desk representative,occ2000-104
help desk specialist,occ2000-104
help desk technician,occ2000-104
helper ,"occ2000-930, occ2000-244, occ2000-972, occ2000-443, occ2000-961, occ2000-830, occ2000-895, occ2000-605, occ2000-605, occ2000-613, occ2000-605, occ2000-693, occ2000-626, occ2000-895, occ2000-975, occ2000-360, occ2000-465, occ2000-413, occ2000-761, occ2000-465, occ2000-423, occ2000-435, occ2000-605, occ2000-460, occ2000-446, occ2000-883, occ2000-936"
"helper \ any other specified--code as ""n.s.""",occ2000-
helper teacher,occ2000-254
hematologist,occ2000-306
hematology technician,occ2000-330
hematology technologist,occ2000-330
hemmer,occ2000-832
hemming and tacking machine operator,occ2000-832
hemodialysis technician,occ2000-330
hemstitcher,occ2000-832
herb digger,occ2000-605
herb doctor,occ2000-326
herb grower,"occ2000-020, occ2000-021"
herbalist,occ2000-326
herbicide service sales,occ2000-484
herd manager,occ2000-020
herder,occ2000-605
herdsman,occ2000-605
herpetologist,occ2000-161
herpetology teacher,occ2000-220
hewer,"occ2000-623, occ2000-613, occ2000-853"
hi lift operator,occ2000-960
hi lo driver,occ2000-960
hi low truck driver,occ2000-960
hi ranger operator,occ2000-960
hide and skin colerer,occ2000-896
hide buyer,occ2000-051
hide cleaner,occ2000-871
hide curer,occ2000-896
hide dropper,occ2000-781
hide dyer,occ2000-865
hide grader,occ2000-604
hide handler,occ2000-896
hide house supervisor,occ2000-770
hide inspector and sorter,occ2000-874
hide mill man,occ2000-896
hide or skin buffer,occ2000-865
hide paster,occ2000-896
hide puller,occ2000-864
hide salter,occ2000-896
hide selector,occ2000-962
hide shaker,occ2000-962
hide splitter,occ2000-896
hide spreader,occ2000-896
hide tanner,occ2000-846
hide trimmer,"occ2000-781, occ2000-871"
hide washer,occ2000-896
hide worker,occ2000-896
hides inspector,occ2000-874
high climber,occ2000-613
high lift driver,occ2000-960
high lift mule operator,occ2000-960
high lift operator,occ2000-960
high lighter,occ2000-881
high man,occ2000-626
high pressure boiler operator,occ2000-861
high pressure firer,occ2000-863
high pressure operator,occ2000-863
high rigger,occ2000-756
high scaler,occ2000-683
high school diploma or some college and no degree nurse \ other specified or n.s.,occ2000-350
high school graduate or less engineer,occ2000-861
high school teacher,occ2000-232
high speed printer operator,occ2000-580
high speed warper tender,occ2000-842
high tension tester,occ2000-741
highway commissioner,occ2000-001
highway contractor,182
highway contractors,182
highway engineer,"005, occ2000-136"
highway engineering teacher,occ2000-220
highway engineers,005
highway inspector,"182, occ2000-666"
highway inspectors,182
highway maintenance,"occ2000-673, occ2000-673"
highway maintenance supervisor,occ2000-620
highway maintenance worker,899
highway maintenance workers,899
highway patrol pilot,occ2000-385
"highway patrolman--see ""patrolman""",occ2000-
highway research engineer,occ2000-136
highway safety engineer,occ2000-136
highway technician,occ2000-155
highway truck driver,occ2000-913
highway worker,occ2000-673
hiker,"occ2000-935, occ2000-741"
hinging machine operator,occ2000-854
hired girl,occ2000-423
hired hand,"occ2000-605, occ2000-605"
hired help,"occ2000-605, occ2000-605"
hired man,"occ2000-422, occ2000-605, occ2000-605"
histologic aide,occ2000-330
histologic technician,occ2000-330
histological illustrator,occ2000-260
histologist,occ2000-165
histology teacher,occ2000-220
histopathologist,occ2000-165
histopathology technician,occ2000-330
historian,"052, occ2000-351, occ2000-186, isco08-2633, isco08-2633"
historians,052
historiography teacher,occ2000-220
history card clerk,occ2000-526
history teacher,"occ2000-232, occ2000-220, occ2000-234"
histotechnologist,occ2000-330
hitcher,"occ2000-613, occ2000-975"
hiv counselor,occ2000-200
hob grinder,occ2000-800
hob machine operator,occ2000-801
hobber,occ2000-801
hobbies and crafts sales,occ2000-485
hobbing machine operator,occ2000-801
hobbing press operator,occ2000-801
hockey player,occ2000-272
hockey scout,occ2000-272
hod carrier,occ2000-626
hoe runner,occ2000-632
hoe sharpener,occ2000-605
hoeing row boss,occ2000-600
hoer,occ2000-605
hofstra university school of business,naics-61
hog buyer,occ2000-051
hog cooler,occ2000-890
hog counter,occ2000-896
hog cutter,occ2000-781
hog driver,occ2000-896
hog dropper,occ2000-781
hog feeder,occ2000-963
hog killer,occ2000-781
hog man,occ2000-963
hog pusher,occ2000-896
hog raiser,"occ2000-020, occ2000-021"
hog ringer,occ2000-775
hog scalder,occ2000-781
hog scraper,occ2000-896
hog sticker,occ2000-781
hog tender,occ2000-865
hog trader,occ2000-051
hogshead builder,occ2000-775
hogshead cooper,occ2000-775
hogshead dumper,occ2000-975
hogshead filler,occ2000-964
hogshead inspector,occ2000-874
hogshead mat assembler,occ2000-775
hogshead opener,occ2000-896
hogshead salvage,occ2000-896
hogshead weigher,occ2000-563
hoist mechanic,occ2000-722
hoist operator,occ2000-956
hoister,occ2000-896
hoisting engine operator,occ2000-956
hoisting engineer,occ2000-632
hoisting laborer,occ2000-975
hoisting pile driving engineer,occ2000-631
hold man,occ2000-962
holder,occ2000-896
holding for sticker,occ2000-962
hole digger,occ2000-626
hole digger operator,occ2000-682
hole filler,occ2000-896
hollock maker,occ2000-864
hollow ware maker,occ2000-896
holter scanning technician,occ2000-332
home advisor,occ2000-255
home appliance installer,occ2000-732
home appliances mechanic,occ2000-732
home attendant,occ2000-360
home care aide,occ2000-461
home care and home health aides teacher,"occ2000-220, occ2000-220"
home care coordinator,occ2000-432
home caterer,"187, 319"
