term,code(s)
freight elevator erector,occ2000-670
hydraulic elevator constructor,occ2000-670
installer ,occ2000-670
elevator installation and repair maintenance,occ2000-670
elevator mechanic,occ2000-670
escalator mechanic,occ2000-670
elevator repairer,occ2000-670
fence builder,occ2000-671
fence erector,occ2000-671
fence installer,occ2000-671
wire fence builder,occ2000-671
wire fence erector,occ2000-671
wood fence installer,occ2000-671
asbestos abatement worker,occ2000-672
asbestos coverer,occ2000-672
asbestos remover,occ2000-672
asbestos worker,occ2000-672
environmental cleaner,occ2000-672
hazard waste handler,occ2000-672
hazardous material specialist,occ2000-672
hazardous waste remover,occ2000-672
irradiated fuel handler,occ2000-672
highway maintenance,occ2000-673
highway worker,occ2000-673
hot oiler,occ2000-673
lane marker installer,occ2000-673
highway maintenance,occ2000-673
oil spreader operator,occ2000-673
road repairer,occ2000-673
road builder,occ2000-673
road maker,occ2000-673
road mender,occ2000-673
road oiler,occ2000-673
road oiling truck driver,occ2000-673
road patcher,occ2000-673
road sign installer,occ2000-673
road worker,occ2000-673
snow plow operator,occ2000-673
street worker,occ2000-673
ballast cleaning machine operator,occ2000-674
portable grinding machine operator,occ2000-674
railroad track mechanic,occ2000-674
track mechanic,occ2000-674
oil distributor tender,occ2000-674
rail track laying or maintenance equipment operator,occ2000-674
track machine operator repairer,occ2000-674
section gang,occ2000-674
section hand,occ2000-674
section laborer,occ2000-674
emergency service restorer,occ2000-674
stone crusher operator,occ2000-674
slab lifting supervisor,occ2000-674
track dresser,occ2000-674
track grinder operator,occ2000-674
track laborer,occ2000-674
track layer,occ2000-674
track laying machine operator,occ2000-674
track maintainer,occ2000-674
track moving machine operator,occ2000-674
track surfacing machine operator,occ2000-674
trackman,occ2000-674
electric sewer cleaning machine operator,occ2000-675
pipe cleaning and priming machine operator,occ2000-675
pipe cleaning machine operator,occ2000-675
roto rooter operator,occ2000-675
septic tank cleaner,occ2000-675
servicer ,occ2000-675
sewage screen operator,occ2000-675
sewer cleaner,occ2000-675
sewer pipe cleaner,occ2000-675
aluminum pool installer,occ2000-676
asphalt dauber,occ2000-676
asphalt heater operator,occ2000-676
asphalt heater tender,occ2000-676
concrete buildings assembler,occ2000-676
awning erector,occ2000-676
awning hanger,occ2000-676
awning installer,occ2000-676
blind hanger,occ2000-676
blind installer,occ2000-676
building dismantler,occ2000-676
building mover,occ2000-676
building wrecker,occ2000-676
burner operator,occ2000-676
clay house worker,occ2000-676
clay structure builder and servicer,occ2000-676
concrete pavement installer,occ2000-676
cradle placer,occ2000-676
cribber,occ2000-676
cribbing setter,occ2000-676
hanging flags decorator,occ2000-676
streets and buildings decorator,occ2000-676
derrick builder,occ2000-676
drapery hanger,occ2000-676
drapery installer,occ2000-676
grade setter,occ2000-676
house mover,occ2000-676
house shorer,occ2000-676
house wrecker,occ2000-676
interlocking concrete pavement installer,occ2000-676
joint runner,occ2000-676
joint yarner,occ2000-676
laminating machine operator,occ2000-676
laminator ,occ2000-676
inflatable buildings laminator,occ2000-676
leadite man,occ2000-676
leadman,occ2000-676
conduit mechanic,occ2000-676
venetian blind mechanic,occ2000-676
paver installer,occ2000-676
paving stone installer,occ2000-676
pool installer,occ2000-676
pressure washer,occ2000-676
refractory specialist,occ2000-676
reinforcing steel machine operator,occ2000-676
segmental paver-installer,occ2000-676
shade hanger,occ2000-676
shorer,occ2000-676
sign maintenance,occ2000-676
slip mixer,occ2000-676
sloper,occ2000-676
slurry blender,occ2000-676
slurry man,occ2000-676
slurry tank operator,occ2000-676
slurry tank tender,occ2000-676
steamblaster,occ2000-676
tar boiler,occ2000-676
tar heater,occ2000-676
tie man,occ2000-676
tile layer drainage,occ2000-676
tuck pointer,occ2000-676
venetian blind installer,occ2000-676
venetian blind worker,occ2000-676
wall man,occ2000-676
waterproofer,occ2000-676
window shade installer,occ2000-676
wrecker,occ2000-676
back up worker,occ2000-680
cable driller,occ2000-680
cable tool driller,occ2000-680
cable tool operator,occ2000-680
clean out driller,occ2000-680
core drill operator,occ2000-680
core driller,occ2000-680
derrick operator,occ2000-680
gas derrick operator,occ2000-680
oil derrick operator,occ2000-680
well service derrick worker,occ2000-680
drill hand,occ2000-680
drill operator ,occ2000-680
driller,occ2000-680
drilling machine operator ,occ2000-680
fisherman,occ2000-680
fishing tool operator,occ2000-680
gas derrick operator,occ2000-680
oil derrick operator,occ2000-680
oil driller,occ2000-680
oil well driller,occ2000-680
prospecting driller,occ2000-680
rotary derrick operator,occ2000-680
rotary driller,occ2000-680
rotary rig engine operator,occ2000-680
oil well service unit operator,occ2000-680
shot hole driller,occ2000-680
spud driller,occ2000-680
swabber,occ2000-680
well cleaner,occ2000-680
well driller,occ2000-680
auger operator,occ2000-682
blast hole driller,occ2000-682
boring machine operator,occ2000-682
churn drill operator,occ2000-682
churn driller,occ2000-682
company driller,occ2000-682
company miner ,occ2000-682
contract driller,occ2000-682
contract miner ,occ2000-682
core drill operator,occ2000-682
core driller,occ2000-682
deep well contractor,occ2000-682
diamond driller,occ2000-682
drill hand,occ2000-682
drill operator ,occ2000-682
drill runner,occ2000-682
driller,occ2000-682
drilling machine operator ,occ2000-682
drilling machine runner,occ2000-682
earth auger operator,occ2000-682
earth boring machine operator,occ2000-682
electric drill operator,occ2000-682
foundation drill operator,occ2000-682
hole digger operator,occ2000-682
horizontal drill operator,occ2000-682
horizontal earth boring machine operator,occ2000-682
jumper,occ2000-682
machine driller,occ2000-682
post hole digger,occ2000-682
post hole digging machine operator,occ2000-682
raise driller,occ2000-682
rock drill operator,occ2000-682
shot core drill operator,occ2000-682
stoper,occ2000-682
test borer,occ2000-682
test driller,occ2000-682
tunneling machine operator,occ2000-682
wagon drill operator,occ2000-682
wagon driller,occ2000-682
wagoner,occ2000-682
wash driller,occ2000-682
water well driller,occ2000-682
well digger,occ2000-682
well drill operator,occ2000-682
well driller,occ2000-682
blast setter,occ2000-683
blaster,occ2000-683
charger,occ2000-683
blasting clay miner,occ2000-683
blasting coal miner,occ2000-683
coal shooter,occ2000-683
blasting company miner,occ2000-683
blasting contract man,occ2000-683
blasting contract miner,occ2000-683
blasting copper miner,occ2000-683
dobie man,occ2000-683
driftman,occ2000-683
dynamite shooter,occ2000-683
dynamiter,occ2000-683
blasting efficiency miner,occ2000-683
blasting entryman,occ2000-683
explosive expert,occ2000-683
explosive man,occ2000-683
explosive ordnance handler,occ2000-683
explosive ordnance specialist,occ2000-683
firer ,occ2000-683
fuse cutter,occ2000-683
blasting gang miner,occ2000-683
blasting gold miner,occ2000-683
gun perforator,occ2000-683
gun perforator loader,occ2000-683
blasting hard rock miner,occ2000-683
high scaler,occ2000-683
blasting hydraulic miner,occ2000-683
blasting iron miner,occ2000-683
blasting lead miner,occ2000-683
blasting lode miner,occ2000-683
explosive ordnance manager,occ2000-683
explosive ordnance disposal manager,occ2000-683
blasting metal miner,occ2000-683
blasting mica miner,occ2000-683
blasting miner,occ2000-683
blasting muck miner,occ2000-683
nitro man,occ2000-683
oil well gun perforator operator,occ2000-683
oil well shooter,occ2000-683
ordnance artificer,occ2000-683
ordnance handler,occ2000-683
ordnance keeper,occ2000-683
blasting ore miner,occ2000-683
perforator,occ2000-683
perforator loader,occ2000-683
perforator operator,occ2000-683
pillar man,occ2000-683
powder worker,occ2000-683
blasting quartz miner,occ2000-683
robber,occ2000-683
sample taker operator,occ2000-683
seismograph shooter,occ2000-683
shaft sinker,occ2000-683
blasting shale miner,occ2000-683
shooter,occ2000-683
shot fireman,occ2000-683
shot firer,occ2000-683
shot hole shooter,occ2000-683
shot lighter,occ2000-683
shot man,occ2000-683
shotblaster,occ2000-683
blasting silver miner,occ2000-683
blasting skip miner,occ2000-683
stump blower,occ2000-683
stump shooter,occ2000-683
aircraft ordnance technician,occ2000-683
explosive ordnance technician,occ2000-683
tier and detonator,occ2000-683
torpedo man,occ2000-683
torpedo shooter,occ2000-683
tunnel man,occ2000-683
velocity shooter,occ2000-683
well blower,occ2000-683
well shooter,occ2000-683
blasting zinc miner,occ2000-683
belt operator,occ2000-684
channel machine operator,occ2000-684
channeler runner,occ2000-684
channeling machine operator,occ2000-684
clay miner ,occ2000-684
mine cutting and channeling machine clay miner,occ2000-684
coal cutter,occ2000-684
coal miner ,occ2000-684
continuous mining machine coal miner,occ2000-684
mine cutting and channeling machine coal miner,occ2000-684
coal trimmer machine operator,occ2000-684
continuous mining machine company miner,occ2000-684
mine cutting and channeling machine company miner,occ2000-684
continuous mining machine operator,occ2000-684
continuous mining machine contract miner,occ2000-684
copper miner ,occ2000-684
mine cutting and channeling machine copper miner,occ2000-684
cutter ,occ2000-684
cutter operator,occ2000-684
digging machine operator,occ2000-684
dry placer machine operator,occ2000-684
duck bill operator,occ2000-684
duck operator,occ2000-684
efficiency miner ,occ2000-684
equipment operator ,occ2000-684
excavating machine operator,occ2000-684
excavator operator,occ2000-684
extraction machine operator,occ2000-684
face man,occ2000-684
gang miner ,occ2000-684
gold miner ,occ2000-684
hard rock miner ,occ2000-684
harvester operator,occ2000-684
hydraulic miner ,occ2000-684
hydraulic operator,occ2000-684
iron miner ,occ2000-684
lead miner ,occ2000-684
lode miner ,occ2000-684
continuous mining machine lode miner,occ2000-684
long wall mining machine tender,occ2000-684
long wall shear operator,occ2000-684
machine cutter,occ2000-684
machine operator ,occ2000-684
metal miner ,occ2000-684
mica miner ,occ2000-684
mine cutting and channeling machine operator,occ2000-684
miner ,occ2000-684
mining machine operator n.s.,occ2000-684
muck miner ,occ2000-684
ore miner ,occ2000-684
plane runner,occ2000-684
plane tender,occ2000-684
quartz miner ,occ2000-684
rock dust sprayer,occ2000-684
rock duster,occ2000-684
shale planer operator,occ2000-684
shield operator,occ2000-684
shield runner,occ2000-684
tailer,occ2000-684
topman,occ2000-684
under cutter,occ2000-684
zinc miner ,occ2000-684
bolting machine operator,occ2000-691
roof bolting coal miner,occ2000-691
roof bolter,occ2000-691
cathead operator,occ2000-692
connection worker,occ2000-692
well service floorperson,occ2000-692
gang worker,occ2000-692
oil field laborer,occ2000-692
roustabout,occ2000-692
assistant ,occ2000-693
miner assistant,occ2000-693
helper ,occ2000-693
blaster helper,occ2000-693
boring machine operator helper,occ2000-693
churn driller helper,occ2000-693
clean out driller helper,occ2000-693
core drill operator helper,occ2000-693
core driller helper,occ2000-693
cutter operator helper,occ2000-693
cutting machine operators helper,occ2000-693
derrickman helper,occ2000-693
driller helper,occ2000-693
hammerer helper,occ2000-693
horizontal earth boring machine operator helper,occ2000-693
joy operator helper,occ2000-693
loading machine operator helper,occ2000-693
machine helper,occ2000-693
miner helper,occ2000-693
mining helper,occ2000-693
pumper helper,occ2000-693
rig builder helper,occ2000-693
rotary driller helper,occ2000-693
seismograph helper,occ2000-693
shale planer operator helper,occ2000-693
shooter helper,occ2000-693
shot core drill operator helper,occ2000-693
test borer helper,occ2000-693
wash driller helper,occ2000-693
powder carrier,occ2000-693
roughneck,occ2000-693
tunnel mucker,occ2000-693
acidizer,occ2000-694
air pumper,occ2000-694
back hand,occ2000-694
bagger,occ2000-694
battery charger,occ2000-694
battery starter,occ2000-694
bog cutter,occ2000-694
bog worker,occ2000-694
bone picker,occ2000-694
boom operator,occ2000-694
boom tender,occ2000-694
boomer,occ2000-694
bottom cager,occ2000-694
bottomer,occ2000-694
box loader,occ2000-694
cager,occ2000-694
car blocker,occ2000-694
car filler,occ2000-694
carman,occ2000-694
caser,occ2000-694
casing crew,occ2000-694
casing man,occ2000-694
cement gun operator,occ2000-694
cementer ,occ2000-694
chute operator,occ2000-694
chute puller,occ2000-694
chute tapper,occ2000-694
clay digger,occ2000-694
coal cager,occ2000-694
coal digger,occ2000-694
coal getter,occ2000-694
coal loader,occ2000-694
coal picker,occ2000-694
company laborer,occ2000-694
digging machine operator,occ2000-694
dirt shoveler,occ2000-694
drainman,occ2000-694
duck bill operator,occ2000-694
duck operator,occ2000-694
dumper bailer operator,occ2000-694
excavating machine operator,occ2000-694
excavator operator,occ2000-694
extra,occ2000-694
flagman,occ2000-694
flame channeler,occ2000-694
floorhand,occ2000-694
floorperson ,occ2000-694
foot worker,occ2000-694
gold prospector,occ2000-694
grizzlyman,occ2000-694
groundman,occ2000-694
hammerman,occ2000-694
hand ,occ2000-694
handyman ,occ2000-694
harvester operator,occ2000-694
jack setter,occ2000-694
joy loader,occ2000-694
joy loading machine operator,occ2000-694
joy operator,occ2000-694
laborer ,occ2000-694
tailings dam laborer,occ2000-694
lampman,occ2000-694
lightman,occ2000-694
lamp mechanic,occ2000-694
shaft mechanic,occ2000-694
mine laborer,occ2000-694
muck operator,occ2000-694
mucker operator,occ2000-694
mucking machine operator,occ2000-694
nozzleman,occ2000-694
oil field caser,occ2000-694
oil field worker,occ2000-694
ore digger,occ2000-694
outside laborer,occ2000-694
pan operator,occ2000-694
placer miner,occ2000-694
plateman,occ2000-694
platform man,occ2000-694
plugger man,occ2000-694
pneumatic jack operator,occ2000-694
prop drawer,occ2000-694
prop setter,occ2000-694
prospector,occ2000-694
puffer,occ2000-694
puffer tender,occ2000-694
quarry plug and feather driller,occ2000-694
quarry worker,occ2000-694
quarryman,occ2000-694
relief man,occ2000-694
shaft repairer,occ2000-694
rig operator,occ2000-694
road cleaner,occ2000-694
roadman,occ2000-694
rock breaker,occ2000-694
rock picker,occ2000-694
rock splitter,occ2000-694
rockman,occ2000-694
safety lamp keeper,occ2000-694
sand digger,occ2000-694
sand filler,occ2000-694
sand screener,occ2000-694
sand shoveler,occ2000-694
sandfill operator,occ2000-694
scraper,occ2000-694
second worker,occ2000-694
section hand,occ2000-694
shaft headman,occ2000-694
shaft tender,occ2000-694
shore man,occ2000-694
signaler,occ2000-694
slate handler,occ2000-694
slate picker,occ2000-694
sluice tender,occ2000-694
spragger,occ2000-694
sprinkler,occ2000-694
steel boy,occ2000-694
stoneman,occ2000-694
stripper ,occ2000-694
timber robber,occ2000-694
top cager,occ2000-694
top loader,occ2000-694
utility worker,occ2000-694
wasteman,occ2000-694
yard laborer,occ2000-694
yardman ,occ2000-694
airport maintenance chief,occ2000-700
chief power dispatcher,occ2000-700
crew chief ,occ2000-700
distribution superintendent,occ2000-700
equipment superintendent,occ2000-700
garageman,occ2000-700
ground crew chief,occ2000-700
head lineman,occ2000-700
machine erecting millwright or repair leadman,occ2000-700
repair maintenance director,occ2000-700
maintenance superintendent ,occ2000-700
auto fleet maintenance manager,occ2000-700
cable installation maintenance and repair manager,occ2000-700
electric distribution department manager,occ2000-700
marine service manager,occ2000-700
repair department manager,occ2000-700
service manager,occ2000-700
storage garage manager,occ2000-700
tank and amphibian tractor operations chief,occ2000-700
plant wire chief,occ2000-700
repeater chief,occ2000-700
section hand,occ2000-700
superintendent ,occ2000-700
local superintendent,occ2000-700
supervisor ,occ2000-700
air conditioning supervisor,occ2000-700
aircraft maintenance supervisor,occ2000-700
appliance service supervisor,occ2000-700
artillery maintenance supervisor,occ2000-700
auto mechanic supervisor,occ2000-700
automobile body repair supervisor,occ2000-700
avionics shop supervisor,occ2000-700
bakery machine mechanic supervisor,occ2000-700
body shop supervisor,occ2000-700
boiler repair supervisor,occ2000-700
bus repair supervisor,occ2000-700
cabin equipment supervisor,occ2000-700
cable supervisor,occ2000-700
canal equipment maintenance supervisor,occ2000-700
car repair supervisor,occ2000-700
central office repairer supervisor,occ2000-700
communications electrician supervisor,occ2000-700
cooler service supervisor,occ2000-700
customer facilities supervisor,occ2000-700
electric motor repairing supervisor,occ2000-700
electrical appliance servicer supervisor,occ2000-700
electrical repair and telephone line maintenance supervisor,occ2000-700
electrician substation supervisor,occ2000-700
electronic systems maintenance supervisor,occ2000-700
elevator constructor supervisor,occ2000-700
endless track vehicle supervisor,occ2000-700
engine repair supervisor,occ2000-700
engine testing supervisor,occ2000-700
equipment maintenance supervisor,occ2000-700
farm equipment maintenance supervisor,occ2000-700
fleet maintenance supervisor,occ2000-700
flight test supervisor,occ2000-700
fuel system maintenance supervisor,occ2000-700
garage supervisor,occ2000-700
gear repair supervisor,occ2000-700
instrument mechanics supervisor,occ2000-700
instrument repair supervisor,occ2000-700
instrument shop supervisor,occ2000-700
line supervisor,occ2000-700
line crew supervisor,occ2000-700
line dept. supervisor,occ2000-700
lock maintenance supervisor,occ2000-700
loom fixer supervisor,occ2000-700
maintenance supervisor,occ2000-700
maintenance mechanic supervisor,occ2000-700
maintenance service supervisor,occ2000-700
mechanical maintenance supervisor,occ2000-700
mechanics supervisor,occ2000-700
meter supervisor,occ2000-700
meter and regulator shop supervisor,occ2000-700
meter repair shop supervisor,occ2000-700
meter shop supervisor,occ2000-700
millwright supervisor,occ2000-700
motorcycle repair shop supervisor,occ2000-700
oil field equipment mechanic supervisor,occ2000-700
powerhouse mechanic supervisor,occ2000-700
pump service supervisor,occ2000-700
radio interference supervisor,occ2000-700
railroad car repair supervisor,occ2000-700
reclamation supervisor,occ2000-700
refrigeration repair supervisor,occ2000-700
repair supervisor,occ2000-700
retread supervisor,occ2000-700
rigger supervisor,occ2000-700
roundhouse supervisor,occ2000-700
service supervisor,occ2000-700
service and repair supervisor,occ2000-700
shop supervisor,occ2000-700
station installation supervisor,occ2000-700
street light servicer supervisor,occ2000-700
supercharge repair supervisor,occ2000-700
technical supervisor,occ2000-700
telephone installers and repairers supervisor,occ2000-700
test deck supervisor,occ2000-700
tire service supervisor,occ2000-700
transmission supervisor,occ2000-700
transmission maintenance supervisor,occ2000-700
truck repair supervisor,occ2000-700
utilities and maintenance supervisor,occ2000-700
wheel shop supervisor,occ2000-700
wireworker supervisor,occ2000-700
wire chief,occ2000-700
a.t.m specialist,occ2000-701
aligner,occ2000-701
business machine mechanic apprentice,occ2000-701
office machine mechanic apprentice,occ2000-701
cash register servicer,occ2000-701
computer equipment installer,occ2000-701
computer installer,occ2000-701
computing systems maintenance,occ2000-701
dictating transcribing machine servicer,occ2000-701
computer repair engineer,occ2000-701
office machinery or equipment installer,occ2000-701
mechanic ,occ2000-701
atm mechanic,occ2000-701
i.b.m. machine mechanic,occ2000-701
accounting machine mechanic,occ2000-701
adding machine mechanic,occ2000-701
automatic teller machine mechanic,occ2000-701
bank teller machine mechanic,occ2000-701
bookkeeping machine mechanic,occ2000-701
business machine n.s. mechanic,occ2000-701
calculating machine mechanic,occ2000-701
cash register mechanic,occ2000-701
computer mechanic,occ2000-701
computing systems mechanic,occ2000-701
copying machine mechanic,occ2000-701
customer mechanic,occ2000-701
data processing mechanic,occ2000-701
dictaphone mechanic,occ2000-701
dictating machine mechanic,occ2000-701
duplicating machine mechanic,occ2000-701
electronics computer mechanic,occ2000-701
mail processing equipment mechanic,occ2000-701
office machine mechanic,occ2000-701
photocopying equipment mechanic,occ2000-701
soundscriber mechanic,occ2000-701
statistical machine mechanic,occ2000-701
tabulating machine mechanic,occ2000-701
transcribing machine mechanic,occ2000-701
typewriter mechanic,occ2000-701
xerox machine mechanic,occ2000-701
office machine installer,occ2000-701
office machine service,occ2000-701
computer equipment repairer,occ2000-701
data processing equipment repairer,occ2000-701
fax machine repairer,occ2000-701
typewriter repairer,occ2000-701
statistical machine servicer,occ2000-701
assembly technician,occ2000-701
computer services technician,occ2000-701
dictaphone technician,occ2000-701
office machines wirer,occ2000-701
electronics mechanic apprentice,occ2000-702
installer apprentice,occ2000-702
radio mechanic apprentice,occ2000-702
splicer apprentice,occ2000-702
c.o. worker (central office),occ2000-702
call box wirer,occ2000-702
call circuit worker,occ2000-702
central office desk,occ2000-702
central office equipment installer,occ2000-702
central office installer,occ2000-702
central office trouble shooter,occ2000-702
combination man,occ2000-702
communications equipment installer,occ2000-702
desk man,occ2000-702
office electrician,occ2000-702
radio electrician,occ2000-702
installer electronics,occ2000-702
service engineer,occ2000-702
equipment installer,occ2000-702
equipment tester,occ2000-702
erector ,occ2000-702
exchange trouble shooter,occ2000-702
facility examiner,occ2000-702
facility man,occ2000-702
central office frame wirer,occ2000-702
framer,occ2000-702
inside wirer,occ2000-702
station inspector,occ2000-702
installer ,occ2000-702
instrument adjuster,occ2000-702
instrument installer,occ2000-702
instrument setter,occ2000-702
interior block wirer,occ2000-702
lineman ,occ2000-702
maintenance ,occ2000-702
maintenance administrator,occ2000-702
mechanic ,occ2000-702
p.b.x. mechanic,occ2000-702
broadcasting equipment mechanic,occ2000-702
central office mechanic,occ2000-702
electronics mechanic,occ2000-702
equipment mechanic,occ2000-702
exchange mechanic,occ2000-702
instrument mechanic,occ2000-702
manual equipment mechanic,occ2000-702
radio mechanic,occ2000-702
relay mechanic,occ2000-702
station mechanic,occ2000-702
switchboard mechanic,occ2000-702
telegraph mechanic,occ2000-702
telegraph printer mechanic,occ2000-702
telegraph repeater mechanic,occ2000-702
telegraphic typewriter mechanic,occ2000-702
telephone mechanic,occ2000-702
teletype mechanic,occ2000-702
toll mechanic,occ2000-702
mechanician,occ2000-702
p and e worker,occ2000-702
p.b.x. installer,occ2000-702
p.b.x. wire chief,occ2000-702
power plant worker,occ2000-702
private branch exchange installer,occ2000-702
radio adjuster,occ2000-702
radio electrician,occ2000-702
radio installer,occ2000-702
radio machinist,occ2000-702
radio maintainer,occ2000-702
radio rigger,occ2000-702
radio tester,occ2000-702
relay adjuster,occ2000-702
central office repairer,occ2000-702
instrument repairer,occ2000-702
mother (matrix) repairer,occ2000-702
private branch exchange repairer,occ2000-702
radio repairer,occ2000-702
station installer repairer,occ2000-702
telecommunication equipment repairer,occ2000-702
repeater attendant,occ2000-702
repeater installer,occ2000-702
repeater operator,occ2000-702
simplex printer installer,occ2000-702
sound system installer,occ2000-702
station installer,occ2000-702
switch box installer,occ2000-702
switchboard installer,occ2000-702
switchboard trouble shooter,occ2000-702
switchboard wirer,occ2000-702
switchman,occ2000-702
technician ,occ2000-702
technician ,occ2000-702
automatic technician,occ2000-702
automatic equipment technician,occ2000-702
communications technician,occ2000-702
community antenna television line technician,occ2000-702
facility technician,occ2000-702
power technician,occ2000-702
radio technician,occ2000-702
teletype technician,occ2000-702
test technician,occ2000-702
telegraph installer,occ2000-702
telegraph plant maintainer,occ2000-702
telegraph repeater installer,occ2000-702
telegraphic typewriter installer,occ2000-702
telephone installer,occ2000-702
telephone maintainer,occ2000-702
telephone man,occ2000-702
teletype adjuster,occ2000-702
teletype installer,occ2000-702
teletypewriter installer,occ2000-702
test deskman,occ2000-702
test man,occ2000-702
testboard operator,occ2000-702
tester,occ2000-702
ticker installer,occ2000-702
ticker maintainer,occ2000-702
ticker wirer,occ2000-702
time signal wirer,occ2000-702
toll test desk man,occ2000-702
toll test man,occ2000-702
toll testboard man,occ2000-702
toll transmission man,occ2000-702
transmission man,occ2000-702
transmission tester,occ2000-702
transmitter chief,occ2000-702
trouble shooter ,occ2000-702
trouble tracer,occ2000-702
voltmeter operator,occ2000-702
wirer ,occ2000-702
aircraft electrician,occ2000-703
airplane electrician,occ2000-703
electrical installer,occ2000-703
airplane electrician,occ2000-703
aircraft electronics,occ2000-703
mobile electronics installer,occ2000-703
instrument specialist,occ2000-703
instrument tester,occ2000-703
aircraft armament mechanic,occ2000-703
aircraft instrument mechanic,occ2000-703
armament mechanic,occ2000-703
automatic pilot mechanic,occ2000-703
mobile electronics installer,occ2000-703
in flight refueling system repairer,occ2000-703
missile facilities repairer,occ2000-703
avionics technician,occ2000-703
wirer ,occ2000-703
armature rewinder,occ2000-704
armature winder,occ2000-704
large emergency storage battery maintainer,occ2000-704
chemical cell changer,occ2000-704
dynamo tender,occ2000-704
electric motor analyst,occ2000-704
electric motor fitter,occ2000-704
electric motor rebuilder,occ2000-704
battery mechanic,occ2000-704
dynamometer mechanic,occ2000-704
electric motor mechanic,occ2000-704
electric razor mechanic,occ2000-704
electric shaver mechanic,occ2000-704
electrical mechanic,occ2000-704
emergency generator mechanic,occ2000-704
generator mechanic,occ2000-704
lathe mechanic,occ2000-704
motor \ n.e.c. mechanic,occ2000-704
starter mechanic,occ2000-704
transformer mechanic,occ2000-704
mercury cell cleaner,occ2000-704
motor electrician,occ2000-704
motor rebuilder ,occ2000-704
armature winder repairer,occ2000-704
battery repairer,occ2000-704
cell repairer,occ2000-704
electric motor repairer,occ2000-704
electric tool repairer,occ2000-704
magneto repairer,occ2000-704
power tool repairer,occ2000-704
saw repairer,occ2000-704
switchgear repairer,occ2000-704
sewing machine adjuster,occ2000-704
electrical technician,occ2000-704
electronic technician,occ2000-704
locomotive electrician,occ2000-705
mobile electronics installer,occ2000-705
security systems installer,occ2000-705
mobile electronics installer,occ2000-705
wirer ,occ2000-705
aerial erector,occ2000-710
powerhouse electrician apprentice,occ2000-710
boardman,occ2000-710
powerhouse electrician,occ2000-710
substation electrician,occ2000-710
aerial erector,occ2000-710
amplifier mechanic,occ2000-710
generator mechanic,occ2000-710
missile pad mechanic,occ2000-710
powerhouse mechanic,occ2000-710
radar mechanic,occ2000-710
robotics mechanic,occ2000-710
substation mechanic,occ2000-710
motor room controller,occ2000-710
radar repair and installation,occ2000-710
radio antenna installer,occ2000-710
radio interference expert,occ2000-710
radio interference investigator,occ2000-710
power transformer repairer,occ2000-710
transformer repairer,occ2000-710
plant and maintenance technician,occ2000-710
radar technician,occ2000-710
relay technician,occ2000-710
auto electrician,occ2000-711
auto phone installer,occ2000-711
automotive electrician,occ2000-711
burglar alarm installer,occ2000-711
electrical tryout person,occ2000-711
electrician ,occ2000-711
automotive electrician,occ2000-711
generator man,occ2000-711
generator rebuilder,occ2000-711
mobile electronics installer,occ2000-711
security systems installer,occ2000-711
auto radio mechanic,occ2000-711
mobile electronics installer,occ2000-711
automatic window seat and top lift repairer,occ2000-711
tape deck installer,occ2000-711
wirer ,occ2000-711
electric organ checker,occ2000-712
electronic video games servicer,occ2000-712
maintenance engineer,occ2000-712
television service engineer,occ2000-712
maintenance ,occ2000-712
mechanic ,occ2000-712
t.v. mechanic,occ2000-712
audio video mechanic,occ2000-712
electronic organ mechanic,occ2000-712
phonograph mechanic,occ2000-712
tape recorder mechanic,occ2000-712
television mechanic,occ2000-712
video player mechanic,occ2000-712
video recorder mechanic,occ2000-712
audio video repairer,occ2000-712
electronic home entertainment equipment repairer,occ2000-712
satellite dish repairer,occ2000-712
stereo equipment repairer,occ2000-712
tape recorder repairer,occ2000-712
television and radio repairer,occ2000-712
video system repairer,occ2000-712
satellite dish installer,occ2000-712
stereo equipment installer,occ2000-712
technician ,occ2000-712
electronic organ technician,occ2000-712
electronic sales and service technician,occ2000-712
television technician,occ2000-712
television installer,occ2000-712
television maintenance man,occ2000-712
television servicer,occ2000-712
alarm adjuster,occ2000-713
burglar alarm installer,occ2000-713
fire alarm installer,occ2000-713
home fire alarm installer,occ2000-713
burglar alarm inspector,occ2000-713
security systems installer,occ2000-713
burglar alarm mechanic,occ2000-713
electronic fire control systems mechanic,occ2000-713
fire alarm mechanic,occ2000-713
protective signal repairer,occ2000-713
security technician,occ2000-713
aircraft engine specialist,occ2000-714
aircraft worker ,occ2000-714
airplane rigger,occ2000-714
airplane tester,occ2000-714
airframe and power plant mechanic apprentice,occ2000-714
airplane mechanic apprentice,occ2000-714
burnisher and bumper,occ2000-714
carburetor expert,occ2000-714
carburetor specialist,occ2000-714
mechanical developer prover,occ2000-714
engine installer,occ2000-714
engineman,occ2000-714
experimental man,occ2000-714
fuel system maintenance worker,occ2000-714
jet aircraft servicer,occ2000-714
magneto electrician,occ2000-714
mechanic ,occ2000-714
a c mechanic,occ2000-714
a and e mechanic,occ2000-714
a and p mechanic,occ2000-714
air conditioning mechanic,occ2000-714
aircraft mechanic,occ2000-714
aircraft accessories mechanic,occ2000-714
aircraft cylinder mechanic,occ2000-714
aircraft engine mechanic,occ2000-714
aircraft magneto mechanic,occ2000-714
aircraft rigging and controls mechanic,occ2000-714
aircraft structure mechanic,occ2000-714
airframe mechanic,occ2000-714
airframe and power plant mechanic,occ2000-714
airplane mechanic,occ2000-714
