term,code(s)
route delivery worker,292
vending machine route workers,292
vending machine route worker,292
fund-raisers,293
fund-raiser,293
auctioneers,294
auctioneer,294
equipment rental and leasing service agents,295
equipment rental and leasing service agent,295
comparison shoppers,296
comparison shopper,296
personal shoppers,296
personal shopper,296
sales demonstrators,297
sales demonstrator,297
models,"297, 961"
model,"297, 961"
display workers,298
display worker,298
information marketing specialists,299
information marketing specialist,299
wedding consultants,299
wedding consultant,299
opticians,"299, 713, 716"
optician,"299, 713, 716"
housekeepers,301
housekeeper,301
gardeners and groundskeepers,"301, 406"
gardeners and groundskeeper,"301, 406"
homemakers,301–309
homemaker,301–309
companions,309
companion,309
restaurant hosts and hostesses,310
restaurant hosts and hostesse,310
restaurant stewards,310
restaurant steward,310
dining room attendants,311
dining room attendant,311
head waiters and waitresses,311
head waiters and waitresse,311
waiters and waitresses,311
waiters and waitresse,311
fast food franchise workers,"311, 313, 317, 319"
fast food franchise worker,"311, 313, 317, 319"
cafeteria attendants,"311, 319"
cafeteria attendant,"311, 319"
bartenders,312
bartender,312
short order cooks,313
short order cook,313
cooks and chefs,"313, 315"
cooks and chef,"313, 315"
pastry chefs and bakers,"313, 520, 524, 526"
pastry chefs and baker,"313, 520, 524, 526"
merchant marine stewards and cooks,"315, 350"
merchant marine stewards and cook,"315, 350"
retail butchers,316
retail butcher,316
dishwashers,318
dishwasher,318
pantry supervisors,318
pantry supervisor,318
hotel houseworkers,"321, 323"
hotel houseworker,"321, 323"
movers,323
mover,323
doorkeepers,324
doorkeeper,324
hotel bellhops and porters,324
hotel bellhops and porter,324
barbers and hairstylists,"330, 332"
barbers and hairstylist,"330, 332"
cosmetologists,332
cosmetologist,332
massage therapists,334
massage therapist,334
embalmers,338
embalmer,338
electrologists,339
electrologist,339
amusement and recreation attendants,"342, 349"
amusement and recreation attendant,"342, 349"
ticket takers,344
ticket taker,344
ushers,344
usher,344
divers,"349, 899"
diver,"349, 899"
airline flight attendants,352
airline flight attendant,352
social directors,352
social director,352
outdoor guides,353
outdoor guide,353
tour escorts,353
tour escort,353
home health aides,354
home health aide,354
geriatric aides,355
geriatric aide,355
hospice workers,355
hospice worker,355
nurse's aides and orderlies,355
nurse's aides and orderlie,355
airline baggage and freight handlers,"357, 912, 919"
airline baggage and freight handler,"357, 912, 919"
day care workers,359
day care worker,359
institutional child care workers,359
institutional child care worker,359
party planners,359
party planner,359
personal exercise instructors,359
personal exercise instructor,359
personal service workers,359
personal service worker,359
chauffeurs,"359, 913"
chauffeur,"359, 913"
laundry workers,"361, 363, 369, 581, 782, 920"
laundry worker,"361, 363, 369, 581, 782, 920"
rug and carpet cleaners,"361–362, 369"
rug and carpet cleaner,"361–362, 369"
dry cleaning workers,"361–363, 369, 782, 920"
dry cleaning worker,"361–363, 369, 782, 920"
shoe repairers,365
shoe repairer,365
corrections officers,372
corrections officer,372
detectives,"372, 375–376"
detective,"372, 375–376"
