fn,clause
Indobit-A-NYT1985 - Jan 1 - March 31-208.txt, a former Republican Assemblyman from Brooklyn who became the first Conservative to win election to the City Council
Indobit-A-NYT1986_1-500-8.txt, the slain American naturalist
Indobit-A-NYT1981 - Jan 1 - March 31-129.txt, a neurologist and expert in head injuries
Indobit-A-NYT1986_1-500-168.txt, a farmer
Indobit-A-NYT1984_1-500-395.txt, a New Jersey Republican who served in the House of Representatives for 14 years
Indobit-A-NYT1987 - Jan 1 - March 31-89.txt,
Indobit-A-NYT1983 - Oct 1 - Dec 31-148.txt, Uzbek Communist Party leader and a top member of the Soviet hierarchy
Indobit-A-NYT1986_501-1000-179.txt, the authority on literacy and clear writing who wrote ''Why Johnny Can't Read
Indobit-A-NYT1981 - Oct 1 - Dec 31-132.txt, a literary agent
Indobit-A-NYT1983 - Jan 1 - March 31-416.txt, the recipient of the world's first permanent artificial heart
Indobit-A-NYT1985 - Jan 1 - March 31-352.txt, a former Democratic State Assemblyman from the Buffalo area
Indobit-A-NYT1980_501-904-170.txt,
Indobit-A-NYT1982_1001-1500-466.txt, second wife of King Karl II
Indobit-A-NYT1980_1-500-241.txt, former assistant collector of customs in the New York Customs District
Indobit-A-NYT1986_501-1000-453.txt, one of the most distinguished American sculptors of the 20th century
Indobit-A-NYT1982_1-500-34.txt, a pioneer in the measurement of broadcast audiences
Indobit-A-NYT1985 - April 1 - June 30-320.txt,
Indobit-A-NYT1980_1-500-271.txt, who helped bring about a modern renaissance in Italian sculpture with his portrayals of hefty nudes and men on horseback
Indobit-A-NYT1984_1001-1500-197.txt, the San Francisco restaurateur who started with a beer-and-beans parlor 50 years ago and developed a multimillion-dollar chain of ''Trader Vic'' restaurants
Indobit-A-NYT1983 - July 1 - Sep 30-77.txt, the ABC News anchorman since 1978
Indobit-A-NYT1984_501-1000-190.txt, a former official of the Agency for International Development
Indobit-A-NYT1984_1-500-47.txt, the racketeer who headed the Purple Gang in Detroit in the Prohibition era
Indobit-A-NYT1981 - Jan 1 - March 31-142.txt, a notable figure in contract bridge
Indobit-A-NYT1983 - April 1 - June 30-379.txt, who wrote more than 80 novels about doctors after quitting medical school after a year and a half because she was told women did not belong in medicine
Indobit-A-NYT1986_1001-1500-416.txt, the world's last remaining and longest-surviving recipient of a permanent artificial heart
Indobit-A-NYT1981 - April 1 - June 30-380.txt," a former Secret Service agent who was part of the Presidential protection team for Herbert Hoover, Franklin D. Roosevelt, Harry S. Truman and Dwight D. Eisenhower"
Indobit-A-NYT1982_501-1000-18.txt, a gynecologist and obstetrician and a specialist in gynecological cancer
Indobit-A-NYT1981 - April 1 - June 30-74.txt, one of the nation's leading black clergymen and educators and an early champion of a Christianity that emphasized the needs of the poor and disadvantaged
Indobit-A-NYT1982_501-1000-391.txt, who performed the world's first kidney transplant
Indobit-A-NYT1983 - Jan 1 - March 31-222.txt, a leader of the Armenian Orthodox Church
Indobit-A-NYT1982_1501-1630-49.txt,
Indobit-A-NYT1983 - Oct 1 - Dec 31-113.txt, a leader in the Hungarian Reformed Church and several cultural organizations serving the Hungarian community in the Northeast
Indobit-A-NYT1982_501-1000-330.txt,
Indobit-A-NYT1980_501-904-294.txt, Benedictos I
Indobit-A-NYT1982_1-500-32.txt," Ohio, Jan. 7 Walter Charles (Wally) Post, an outfielder who spent most of his career with the Cincinnati Reds"
Indobit-A-NYT1983 - April 1 - June 30-366.txt, a Republican Assemblyman who represented Chemung and Tioga Counties in upstate New York from 1963 to 1978
Indobit-A-NYT1983 - April 1 - June 30-286.txt, Arvid Y. Pelshe
Indobit-A-NYT1986_1-500-310.txt," a former official of the Central Intelligence Agency who was an early member of its forerunner, the Office of Strategic Services"
Indobit-A-NYT1983 - April 1 - June 30-173.txt," whose tales of British Empire on the Indian subcontinent included ''Bhowani Junction,'' ''Nightrunners of Bengal'' and ''Coromandel"
Indobit-A-NYT1985 - Oct 1 - Dec 31-7.txt, the essayist and stylist who was one of the nation's most precious literary resources
Indobit-A-NYT1982_1001-1500-262.txt, whose charge that she was raped by a group of young blacks on a train prompted the Scottsboro Boys trial of the 1930's
Indobit-A-NYT1987 - April 1 - June 30-347.txt, who brought his wife and two men to safety by sailing a 36-foot boat across the Pacific Ocean as Japanese forces advanced on Shanghai in 1938
Indobit-A-NYT1981 - April 1 - June 30-188.txt, a pioneer in corporate merger negotiations
Indobit-A-NYT1980_501-904-336.txt, a Democratic member of the New York State Assembly from 1937 until 1968
Indobit-A-NYT1980_1-500-281.txt, whose role as Pakistan's military strongman grew out of bloody turmoil and ended in the trauma of military defeat and national breakup with the birth of Bangladesh in 1971
Indobit-A-NYT1982_1-500-351.txt,
Indobit-A-NYT1983 - Jan 1 - March 31-69.txt,
Indobit-A-NYT1983 - July 1 - Sep 30-57.txt,
Indobit-A-NYT1987 - Jan 1 - March 31-297.txt," literary agent for Arthur Miller, Tennessee Williams and Arthur Kopit, among other well-known American writers"
Indobit-A-NYT1984_1-500-193.txt, a former high-ranking Foreign Service officer who had been a member of the State Department's Policy Planning Staff
Indobit-A-NYT1986_1001-1500-205.txt,
Indobit-A-NYT1986_1-500-26.txt, who represented southern Colorado for 11 terms
Indobit-A-NYT1983 - Jan 1 - March 31-437.txt," a staunch segregationist who served two decades in Congress, was found dead at his Brandon, Miss., home yesterday"
Indobit-A-NYT1980_501-904-353.txt," a former catcher for the Chicago Cubs, the Pittsburgh Pirates and the Philadelphia Phillies"
Indobit-A-NYT1985 - Oct 1 - Dec 31-64.txt," mother of the ''Tonight'' show host, Johnny Carson"
Indobit-A-NYT1985 - Oct 1 - Dec 31-1.txt, whose 21 novels established her as the queen of international espionage fiction
Indobit-A-NYT1986_1-500-171.txt, Communist Party leader of Latvia for 19 years after the Baltic nation was absorbed into the Soviet Union in 1940
Indobit-A-NYT1985 - Oct 1 - Dec 31-277.txt, an international currency analyst
Indobit-A-NYT1984_1001-1500-125.txt,
Indobit-A-NYT1984_501-1000-17.txt, a World War I ace who once shot down three German planes before breakfast
Indobit-A-NYT1981 - July 1 - Sep 30-437.txt, a former Lutheran Church official who headed of the Lutheran Resources Commission in Wa@shingon
Indobit-A-NYT1984_501-1000-328.txt, the reputed boss of organized crime in New England for more than 25 years
Indobit-A-NYT1980_501-904-257.txt,
Indobit-A-NYT1984_1001-1500-194.txt, whose 1955 book ''Birdman of Alcatraz'' became one of the nation's best-known prison biographies
Indobit-A-NYT1981 - April 1 - June 30-64.txt, a high-ranked contract bridge player
Indobit-A-NYT1982_1-500-167.txt,
Indobit-A-NYT1984_1001-1500-262.txt, an authority on nuclear safety
Indobit-A-NYT1986_501-1000-256.txt, a retired Foreign Service officer who helped draft the 1928 Kellogg-Briand pact renouncing war
Indobit-A-NYT1980_501-904-4.txt, who described himself as the ''godfather'' of land fraud in Arizona
Indobit-A-NYT1982_1001-1500-226.txt,
Indobit-A-NYT1981 - July 1 - Sep 30-125.txt," a demolition contractor who was once accused of offering a $100,000 bribe to an agent of the Internal Revenue Service"
Indobit-A-NYT1985 - July 1 - Sep 30-321.txt," a philanthropist and an international trader in hides, leather and other commodities"
Indobit-A-NYT1980_1-500-145.txt," who produced or supervised the production of more than 250 movies, including ''An American in Paris,'' ''The Blackboard Jungle'' and ''Seven Brides for Seven Brothers"
Indobit-A-NYT1980_1-500-320.txt,
Indobit-A-NYT1984_1-500-90.txt, a Soviet guerrilla leader in World War II who rose to national prominence in the last five years of Stalin's rule
Indobit-A-NYT1980_1-500-419.txt, a former member of the City Council and a leading black political figure here
Indobit-A-NYT1981 - April 1 - June 30-387.txt, known for his role in the Hopalong Cassidy movies
Indobit-A-NYT1984_501-1000-393.txt,
Indobit-A-NYT1981 - Oct 1 - Dec 31-144.txt, former Brooklyn Dodger star outfielder who won the National League batting title in 1941
Indobit-A-NYT1980_1-500-27.txt, one of the last known members of the organization that assassinated Archduke Franz Ferdinand of Austria in 1914
Indobit-A-NYT1982_501-1000-337.txt, the American League's most valuable player in 1958
Indobit-A-NYT1980_1-500-308.txt, Me.
Indobit-A-NYT1986_1-500-321.txt, who was active in establishing social welfare agencies in Westchester County
Indobit-A-NYT1984_501-1000-470.txt,
Indobit-A-NYT1986_501-1000-242.txt, a former New Jersey State Senator from Monmouth County
Indobit-A-NYT1981 - July 1 - Sep 30-151.txt," whose career on the bench, in the New York State Assembly and in the House of Representatives spanned some 40 years"
Indobit-A-NYT1983 - Oct 1 - Dec 31-46.txt,
Indobit-A-NYT1987 - Jan 1 - March 31-324.txt," the puppeteer who enchanted millions of all ages with his ''little wooden ones'' and trained a generation of other gifted puppeteers, particularly the Muppets' creator, Jim Henson"
Indobit-A-NYT1983 - Oct 1 - Dec 31-136.txt, retired Archbishop of San Francisco
Indobit-A-NYT1986_501-1000-423.txt, a Michigan labor leader long influential in Democratic politics in that state
Indobit-A-NYT1981 - Jan 1 - March 31-210.txt," Conn. Mr. Fogarty, who lived in Darien, Conn."
Indobit-A-NYT1981 - Jan 1 - March 31-191.txt, who served seven terms in Congress
Indobit-A-NYT1985 - Oct 1 - Dec 31-248.txt, a leader of organized crime in Cleveland
Indobit-A-NYT1983 - Jan 1 - March 31-347.txt,
Indobit-A-NYT1981 - April 1 - June 30-140.txt,
Indobit-A-NYT1982_1-500-356.txt," along with two other persons, when a plane in which they were buzzing a mansion struck a van and crashed into the house"
Indobit-A-NYT1986_1-500-381.txt," Hollywood's ''tough guy'' and one of America's favorite showmen, was eulogized at a church in his childhood neighborhood yesterday"
Indobit-A-NYT1985 - July 1 - Sep 30-432.txt,
Indobit-A-NYT1985 - Oct 1 - Dec 31-364.txt, who helped in the resettlement of hundreds of thousands of displaced European Jews after World War II
Indobit-A-NYT1981 - Oct 1 - Dec 31-25.txt, an expert on Arthurian legends and other medieval subjects
Indobit-A-NYT1981 - Jan 1 - March 31-419.txt," Paul Kennedy, who has been fighting to avert a shutdown of the city's schools"
Indobit-A-NYT1980_1-500-150.txt, who headed the Woolworth retail empire in an era of rapid expansion in the 50's
Indobit-A-NYT1987 - Jan 1 - March 31-305.txt, a West German champion of wildlife who rebuilt Frankfurt's zoo from wartime ruin and won an Academy Award for a documentary about the Serengeti area of East Africa
Indobit-A-NYT1982_1-500-181.txt, an internationally recognized handwriting and docum ent analyst w ho helped the police here solve thousands of crimes in a 27-year c areer
Indobit-A-NYT1985 - Oct 1 - Dec 31-382.txt, a researcher of blood disorders
Indobit-A-NYT1982_501-1000-2.txt, a former cotton broker
Indobit-A-NYT1985 - July 1 - Sep 30-155.txt,
Indobit-A-NYT1986_501-1000-447.txt, a Southern California developer and philanthropist
Indobit-A-NYT1981 - Jan 1 - March 31-71.txt," 66, Dies; Formerly on State Court LOUDONVILLE, N.Y."
Indobit-A-NYT1981 - April 1 - June 30-440.txt, who spent more time in Connecticut prisons than anyone else in the state's history
Indobit-A-NYT1987 - Jan 1 - March 31-78.txt, who chronicled New York's night life for four decades in a chatty syndicated column that originated in The New York Post
Indobit-A-NYT1981 - Jan 1 - March 31-315.txt, a New Jersey conservationist also known for his work in perfecting the parachute
Indobit-A-NYT1980_501-904-155.txt, a longtime Federal personnel management official
Indobit-A-NYT1982_1-500-172.txt, leader of the Mormon Church's Relief Society for nearly 30 years until her retirement in 1974
Indobit-A-NYT1981 - April 1 - June 30-446.txt, who worked for 28 years for the Piper Aircraft Corporation
Indobit-A-NYT1982_1001-1500-249.txt, one of Italy's greatest tenors
Indobit-A-NYT1983 - July 1 - Sep 30-255.txt, John Smitherman was one of 40
Indobit-A-NYT1980_501-904-301.txt, who oversaw a vast transformation of the French-speaking province's political structure in the 1960's
Indobit-A-NYT1982_1-500-204.txt, who served as a State Senator from Essex County from 1965 to 1967
Indobit-A-NYT1981 - July 1 - Sep 30-220.txt, a leader of a sect based on polygamy and several times a suspect in attempts to kill rival religious leaders
Indobit-A-NYT1986_501-1000-176.txt, who served as personal valet of Prince Charles for 12 years until 1981 and reputedly earned $1 million from writing about those years
Indobit-A-NYT1984_1001-1500-1.txt, whose lively patter guided Circle Line riders around the wonders of Manhattan for more than 30 years
Indobit-A-NYT1982_1-500-454.txt, who had held the record for the most championships by a female American swimmer until last year
Indobit-A-NYT1982_1001-1500-55.txt, who led the Poland's Communist Party from 1956 until his ouster in 1970
Indobit-A-NYT1980_1-500-197.txt, an early rocket expert and space writers
Indobit-A-NYT1987 - Jan 1 - March 31-146.txt,
Indobit-A-NYT1981 - April 1 - June 30-45.txt, a former British military jurist who resigned his legal post in 1954 amid a controversy over a book he wrote on German war crimes
Indobit-A-NYT1985 - July 1 - Sep 30-152.txt," an authority in advanced military technologies who helped develop nuclear weapons and then, in the 1960's, became an articulate advocate of arms control"
Indobit-A-NYT1983 - April 1 - June 30-30.txt," retired, who directed the Berlin airlift in the 1948-1949"
Indobit-A-NYT1982_1-500-12.txt, a leading contract bridge player
Indobit-A-NYT1980_501-904-274.txt, their attitudes and their sense of style
Indobit-A-NYT1982_1001-1500-155.txt," whose flamboyant style of life overshadowed her acting career and sometimes dismayed her father, Winston Churchill"
Indobit-A-NYT1983 - July 1 - Sep 30-13.txt, an expert on Russian and Czechoslovak history
Indobit-A-NYT1986_501-1000-483.txt," an insurance agent who handled financial planning for families such as the Kennedys, the Du Ponts and the Rockefellers"
Indobit-A-NYT1986_1001-1500-79.txt, a leader of several Jewish organizations
Indobit-A-NYT1982_1001-1500-148.txt, a leading figure in the fields of child development and education
Indobit-A-NYT1985 - Oct 1 - Dec 31-304.txt, an Eisenhower Republican from Ohio who spent 23 years on the Supreme Court
Indobit-A-NYT1983 - July 1 - Sep 30-212.txt, who served 16 years on New York City's Board of Education under four Mayors
Indobit-A-NYT1986_1-500-420.txt, one of the first women to work as an organizer for the International Ladies Garment Workers' Union
Indobit-A-NYT1984_1001-1500-82.txt, an associate of John D. Rockefeller 3d who contributed to the development of cultural and educational programs in the Far East
Indobit-A-NYT1986_1-500-123.txt,
Indobit-A-NYT1987 - July 1 - Aug 31-109.txt, a specialist in the prevention and control of neurological disorders
Indobit-A-NYT1980_1-500-139.txt, who in recent years was introduced at old-timer games as the oldest living former New York Yankee player
Indobit-A-NYT1982_1-500-411.txt," the stepson of Harry B. Helmsley, the real-estate and hotel chain entrepreneur"
Indobit-A-NYT1984_1-500-243.txt, an Israeli banker
Indobit-A-NYT1985 - July 1 - Sep 30-191.txt, who represented the 29th District in Harlem and on the Upper West Side since 1980
Indobit-A-NYT1986_1001-1500-255.txt, a longtime patron of the arts
Indobit-A-NYT1982_501-1000-432.txt, one of the first blacks admitted to the Mormon Church's priesthood
Indobit-A-NYT1981 - Jan 1 - March 31-199.txt, a wheat geneticist on the agricultural field staff of the Rockefeller Foundation
Indobit-A-NYT1984_1001-1500-395.txt, whose conviction for setting a fire in 1965 that killed 12 people at the Yonkers Jewish Community Center was overturned on appeal
Indobit-A-NYT1987 - April 1 - June 30-328.txt, one of the planners of the D-day invasion
Indobit-A-NYT1983 - Jan 1 - March 31-171.txt, an expert in health-care law
Indobit-A-NYT1986_1-500-63.txt, a former State Senator in Vermont
Indobit-A-NYT1984_501-1000-72.txt, who retired from the New York State Supreme Court on Dec. 31 after a 32-year judicial career
Indobit-A-NYT1985 - July 1 - Sep 30-306.txt,
Indobit-A-NYT1981 - Jan 1 - March 31-339.txt, one of the foremost pioneers of modern molecular genetics
Indobit-A-NYT1980_1-500-319.txt, a Florida civil rights leader
Indobit-A-NYT1984_1-500-163.txt,
Indobit-A-NYT1984_501-1000-296.txt, co-developer of the world's most widely used psychological test
Indobit-A-NYT1983 - Oct 1 - Dec 31-321.txt, Ivan F. Shpedko
Indobit-A-NYT1980_1-500-130.txt, who became a hero to Irish nationalists by fighting the British troops in Ireland during the early 1920's
Indobit-A-NYT1986_1001-1500-143.txt, who received the second highest military decoration for valor four times in World War II
Indobit-A-NYT1984_501-1000-417.txt,
Indobit-A-NYT1982_1001-1500-304.txt," an internationally known expert on coins, currencies and medals"
Indobit-A-NYT1983 - Oct 1 - Dec 31-302.txt, a Philippine labor leader
Indobit-A-NYT1982_501-1000-270.txt, who designed and built a camera system that produced the first pictures of the Earth from space
Indobit-A-NYT1982_1001-1500-79.txt, a Democratic member of Congress from Indiana since 1977
Indobit-A-NYT1984_1001-1500-466.txt, a home builder on Long Island since the 1930's
Indobit-A-NYT1983 - Jan 1 - March 31-7.txt, for 25 years the nominal leader of the Moslems of Soviet Central Asia
Indobit-A-NYT1984_1-500-39.txt,
Indobit-A-NYT1986_1001-1500-412.txt,
Indobit-A-NYT1987 - Jan 1 - March 31-84.txt, a Republican political figure in Kansas
Indobit-A-NYT1983 - April 1 - June 30-157.txt, a cinematographer who won Oscars for ''The Great Waltz'' (1938)
Indobit-A-NYT1986_501-1000-498.txt," Mass., was killed in an automobile accident"
Indobit-A-NYT1984_501-1000-271.txt, who was considered one of the best contract bridge players of all time
Indobit-A-NYT1981 - April 1 - June 30-242.txt, an authority on the Old Testament and ancient Biblical languages
Indobit-A-NYT1984_501-1000-3.txt," 28 years old, who had led a deeply troubled life since the assassination of his father, Robert F. Kennedy"
Indobit-A-NYT1982_501-1000-288.txt, a Soviet cipher clerk whose defection in 1945 helped to unmask Soviet efforts to crack Western atomic bomb secrets
Indobit-A-NYT1985 - April 1 - June 30-84.txt, Tancredo Neves
Indobit-A-NYT1986_501-1000-308.txt, whose design of the swept wing for aircraft helped make supersonic flight possible
Indobit-A-NYT1985 - Jan 1 - March 31-164.txt, who designed a landing craft used on D-Day
Indobit-A-NYT1982_1001-1500-50.txt, who helped set up computerized controls for the New York Power Pool formed by electric utilities after the 1965 Northeast blackout
Indobit-A-NYT1981 - April 1 - June 30-283.txt,
Indobit-A-NYT1983 - Jan 1 - March 31-164.txt," retired, of the Air Force, who led the 1943 ''Black Thursday'' bombing raid on ballbearing factories at Schweinfurt, Germany"
Indobit-A-NYT1982_1001-1500-106.txt, an expert on city administration who helped to draft New York City's Charter
Indobit-A-NYT1981 - April 1 - June 30-428.txt,
Indobit-A-NYT1985 - July 1 - Sep 30-105.txt, at one time the sister-in-law of Eleanor Roosevelt
Indobit-A-NYT1982_501-1000-36.txt, an expert on arms control and on the assessment of the nuclear potential of other nations
Indobit-A-NYT1985 - Oct 1 - Dec 31-68.txt, an elder brother of the Dalai Lama of Tibet
Indobit-A-NYT1985 - Jan 1 - March 31-275.txt, the co- winner of the 1975 Nobel Memorial Prize in Economic Science for his theories on the optimal allocation of resources
Indobit-A-NYT1987 - Jan 1 - March 31-337.txt, the last of four brothers who made burlesque a New York institution
Indobit-A-NYT1985 - April 1 - June 30-133.txt, one of the founders of modern public-opinion polling
Indobit-A-NYT1984_1001-1500-199.txt," the wife of Alger Hiss, who steadfastly defended her husband at his two trials for perjury"
Indobit-A-NYT1981 - Jan 1 - March 31-388.txt, a leading figure on the New York Stock Exchange for 50 years until his retirement in 1969
Indobit-A-NYT1980_1-500-254.txt, eldest member of Sweden's most famous banking family
Indobit-A-NYT1984_501-1000-150.txt, a crewman on the plane that dropped an atomic bomb on Nagasaki during World War II
Indobit-A-NYT1980_1-500-499.txt, a partly blind man who operated the newsstand in the State House here for 40 years until a rash of burglaries forced him to retire last month
Indobit-A-NYT1983 - July 1 - Sep 30-240.txt, who served on the bench for 29 years
Indobit-A-NYT1983 - April 1 - June 30-378.txt, who served for 14 years as secretarytreasurer of the A.F.L.-C.I.O.
Indobit-A-NYT1984_1-500-275.txt, who said she was the original ''Lady in Black'' who for decades made an annual pilgrimage to leave a rose at the grave of Rudolph Valentino
Indobit-A-NYT1981 - Jan 1 - March 31-80.txt," who headed Levine and Smith, a women's apparel store on Division Street, for 65 years"
Indobit-A-NYT1986_1001-1500-254.txt, who served on the Federal bench for more than 20 years
Indobit-A-NYT1980_1-500-355.txt, the archeologist whose discoveries of Mesopotamian civilization in Iraq won him renown in the 1930's
Indobit-A-NYT1984_1-500-147.txt, the ruler of Perak state and the front-runner in the election next week of Malaysia's next King
Indobit-A-NYT1985 - Oct 1 - Dec 31-90.txt, a member of the City Board of Education the last 11 years
Indobit-A-NYT1984_1001-1500-124.txt, who learned to fly in 1914 and served in both World Wars
Indobit-A-NYT1985 - Oct 1 - Dec 31-272.txt, the voice of the cartoon characters Bullwinkle the moose and Mountie Dudley Do-Right
Indobit-A-NYT1986_1001-1500-43.txt, a fiery veteran of the trade union movement who became a Labor peer
Indobit-A-NYT1986_1001-1500-200.txt, the only child of Zelda and F. Scott Fitzgerald
Indobit-A-NYT1984_1001-1500-422.txt, who developed an international exchange program for undergraduate students
Indobit-A-NYT1981 - July 1 - Sep 30-263.txt,
Indobit-A-NYT1982_1001-1500-318.txt, a pioneer aviator who in 1936 made the first trans-Atlantic round-trip flight in an airplane
Indobit-A-NYT1985 - Oct 1 - Dec 31-61.txt,
Indobit-A-NYT1980_1-500-265.txt, a five-term Democratic Congressman from New Mexico
Indobit-A-NYT1983 - Jan 1 - March 31-96.txt, the reputed financial genius of the underworld
Indobit-A-NYT1987 - Jan 1 - March 31-273.txt, the leukemia patient whose potentially life-saving operation was delayed by the Soviet Union's refusal to let his sister emigrate and donate bone marrow for him
Indobit-A-NYT1985 - July 1 - Sep 30-137.txt," a leading figure in Jewish philanthropy for nearly 40 years and the wife of Robert V. Tishman, the New York real-estate figure"
Indobit-A-NYT1982_1-500-71.txt, 63
Indobit-A-NYT1982_501-1000-164.txt, Bob Allard
Indobit-A-NYT1986_1-500-136.txt, who spent 10 years helping his father etch Presidential portraits into Mount Rushmore in South Dakota
Indobit-A-NYT1984_1-500-268.txt,
Indobit-A-NYT1984_1-500-96.txt,
Indobit-A-NYT1986_1-500-156.txt, one of the leading sitarists of India
Indobit-A-NYT1981 - Jan 1 - March 31-282.txt, a leader in the establishment in New York City of the hospice program that stresses the most comfortable and non-institutional individual care possible for the terminally ill
Indobit-A-NYT1980_1-500-72.txt, proprietor of Ballato's Restaurant at 55 East Houston Street
Indobit-A-NYT1980_501-904-374.txt," Peter, 82, first winner of the Indianapolis 500 (1925) to average more than 100 miles an hour.Gregg, Peter, 40, of Ponte Vedra, Fla., one of the world's leading road racers, who set records by winning six season titles and 47 races in Porsches on the International Motor Sports Association's Grand Touring circuit"
Indobit-A-NYT1982_501-1000-236.txt," whose poised, elegant prose established him as one of America's finest storytellers"
Indobit-A-NYT1980_1-500-296.txt, a leader of the Soviet military-industrial complex
Indobit-A-NYT1985 - Jan 1 - March 31-213.txt, the father of a Houston socialite whose mysterious death in 1969 was the basis for Tommy Thompson's best-selling book ''Blood and Money
Indobit-A-NYT1981 - Jan 1 - March 31-444.txt, who Federal authorities said was the first person ever convicted of heading an organized-crime family
Indobit-A-NYT1983 - July 1 - Sep 30-168.txt, who in 1931 invented the Drunkometer to test intoxicated drivers
Indobit-A-NYT1984_1001-1500-283.txt," Fla., and Hewlett Bay Park, L.I."
Indobit-A-NYT1984_501-1000-75.txt, 93
Indobit-A-NYT1983 - April 1 - June 30-382.txt, the leader of the Liberal Party
Indobit-A-NYT1980_501-904-333.txt,
Indobit-A-NYT1983 - April 1 - June 30-77.txt, a Manhattan real-estate developer who specialized in properties in Greenwich Village
Indobit-A-NYT1981 - April 1 - June 30-72.txt, a 17-year-old student who two weeks ago fulfilled one of his life's ambitions by becoming an Eagle Scout
Indobit-A-NYT1986_1001-1500-42.txt, who lived five years with the transplanted heart and lungs of a teen-ager killed in a traffic accident
Indobit-A-NYT1985 - April 1 - June 30-151.txt,
Indobit-A-NYT1985 - Oct 1 - Dec 31-226.txt, who formed the rambunctious Ritz Brothers comedy team with his brothers Al and Harry
Indobit-A-NYT1984_1001-1500-70.txt,
Indobit-A-NYT1980_1-500-43.txt, a national church leader and a champion of civil rights
Indobit-A-NYT1985 - Oct 1 - Dec 31-31.txt, wife of former Senator J. William Fulbright of Arkansas
Indobit-A-NYT1982_1-500-500.txt, former head of the Illinois Legislative Investigating Commission who tried for years to get evidence that would put the underworld leader Charles (Lucky) Luciano in jail
Indobit-A-NYT1981 - Jan 1 - March 31-147.txt, one of the most widely-read and respected yachting writers
Indobit-A-NYT1980_1-500-124.txt," head of Nazi Germany's V-2 flying bomb project, which terrorized London in the last year of World War II"
Indobit-A-NYT1987 - Jan 1 - March 31-155.txt, a younger brother of Emperor Hirohito and a philanthropist
Indobit-A-NYT1980_501-904-46.txt,
Indobit-A-NYT1982_1-500-14.txt, who practiced internal medicine in New York City for nearly 50 years
Indobit-A-NYT1984_1-500-185.txt, the former vicar of the landmark Trinity Episcopal Church in the financial district of Manhattan
Indobit-A-NYT1982_501-1000-311.txt, an accountant in New York City for many years
Indobit-A-NYT1985 - July 1 - Sep 30-314.txt, who won the Nobel Prize in Medicine in 1960
Indobit-A-NYT1983 - Jan 1 - March 31-356.txt,
Indobit-A-NYT1986_1001-1500-401.txt, who in 1936 became the first person to fly solo across the Atlantic from east to west
Indobit-A-NYT1981 - April 1 - June 30-475.txt, a former member of the Norwalk (Conn.) Common Council and the Norwalk Zoning and Planning Commission
Indobit-A-NYT1980_501-904-147.txt, an assistant New York City medical examiner in charge of the Staten Island office in the 1960's
Indobit-A-NYT1981 - Jan 1 - March 31-37.txt, a specialist in 18th-century English
Indobit-A-NYT1982_1001-1500-202.txt, a leader in charitable activities for the arts
Indobit-A-NYT1987 - April 1 - June 30-10.txt, one of the famed Four Musketeers of French tennis
Indobit-A-NYT1980_1-500-185.txt," cantor of Temple Israel in Long Beach, L.I., for 53 years"
Indobit-A-NYT1980_1-500-358.txt, a public relations counselor with Carl Byoir & Associates
Indobit-A-NYT1983 - Oct 1 - Dec 31-38.txt,
Indobit-A-NYT1981 - July 1 - Sep 30-400.txt, a bond broker on Wall Street for more than half a century
Indobit-A-NYT1986_1-500-494.txt,'' his wife
Indobit-A-NYT1984_501-1000-220.txt, the treasurer of the board for world ministries of the United Church of Christ from 1961 to 1971
Indobit-A-NYT1983 - July 1 - Sep 30-73.txt, the ABC News anchorman
Indobit-A-NYT1985 - Jan 1 - March 31-77.txt," who was an assistant to chairmen and commissioners of New York City and State housing agencies, the Metropolitan Transportation Authority and the New York City Educational Construction Fund"
Indobit-A-NYT1980_1-500-36.txt, Thursday
Indobit-A-NYT1985 - July 1 - Sep 30-90.txt, aunt of King Juan Carlos
Indobit-A-NYT1982_1001-1500-333.txt,
Indobit-A-NYT1983 - Oct 1 - Dec 31-356.txt," who for three decades operated Arnaud's, a landmark restaurant in the city's French Quarter"
Indobit-A-NYT1983 - Jan 1 - March 31-265.txt, a longtime Maryknoll missionary in South Korea
Indobit-A-NYT1981 - Oct 1 - Dec 31-139.txt, an entertainer and broadcaster
Indobit-A-NYT1987 - April 1 - June 30-44.txt, a realtor in Chelsea and Greenwich Village
Indobit-A-NYT1985 - Jan 1 - March 31-314.txt, within hours
Indobit-A-NYT1981 - Oct 1 - Dec 31-379.txt, a leader in the nursing profession for many years
Indobit-A-NYT1983 - July 1 - Sep 30-284.txt, whose 1971 book on prewar imperial Japan touched off an international dispute
Indobit-A-NYT1982_1001-1500-230.txt, an 11-term Republican Congressman from California
Indobit-A-NYT1983 - July 1 - Sep 30-3.txt, the forward-looking inventor best known as the father of the geodesic dome
Indobit-A-NYT1985 - Jan 1 - March 31-346.txt,
Indobit-A-NYT1984_501-1000-27.txt, an international banker who held several Federal posts and was a former officer of The First Boston Corporation
Indobit-A-NYT1985 - Oct 1 - Dec 31-199.txt, a Soviet flying ace who is credited with having shot down 59 German planes in World War II
Indobit-A-NYT1982_1-500-336.txt," retired, who won the Medal of Honor in World War II"
Indobit-A-NYT1984_1001-1500-62.txt, winner of the Indianapolis 500 auto race in 1950 and a former national driving champion
Indobit-A-NYT1982_1001-1500-496.txt, who worked on the developing the first atomic bomb and later became a leading advocate of banning nuclear weapons
Indobit-A-NYT1982_1-500-202.txt, a leader of the Soviet nuclear weapons program
Indobit-A-NYT1982_1-500-430.txt,
