fn,clause
Indobit-A-NYT1983 - April 1 - June 30-55.txt, the northern Kentucky restaurateur who was the breeder of the champion race horse Seattle Slew
Indobit-A-NYT1981 - July 1 - Sep 30-76.txt, the first woman to be elected moderator of the United Presbyterian Church in the U.S.A.
Indobit-A-NYT1981 - July 1 - Sep 30-152.txt, a winner of three Academy Awards
Indobit-A-NYT1984_1-500-485.txt, who wrote Hollywood screenplays from 1932 to 1966
Indobit-A-NYT1980_501-904-61.txt," former head of the Bulgarian Communist Party, who was ousted from power and then ejected from the party for Stalinist-type oppression"
Indobit-A-NYT1983 - Jan 1 - March 31-230.txt,
Indobit-A-NYT1983 - April 1 - June 30-220.txt,
Indobit-A-NYT1981 - July 1 - Sep 30-4.txt, the financier who directed the growth of the Alfred I. duPont trust to a $2 billion empire
Indobit-A-NYT1981 - Jan 1 - March 31-16.txt, Countess of Athlone and last surviving grandchild of Queen Victoria
Indobit-A-NYT1981 - Jan 1 - March 31-430.txt,
Indobit-A-NYT1981 - July 1 - Sep 30-119.txt, who headed a team of scientists that developed stereophonic sound and demononstrated it to a startled audience in New York in 1934
Indobit-A-NYT1986_1001-1500-4.txt, a Manhattan obstetrician and gynecologist for 54 years
Indobit-A-NYT1986_1001-1500-163.txt," a social activist in Rockland County, N.Y., for many years"
Indobit-A-NYT1982_1501-1630-62.txt," 73 years old, who became the first non-French leader of the Christian Brothers since the religious order was formed in 1680"
Indobit-A-NYT1982_1501-1630-120.txt, a former member of the New York Council on the Arts
Indobit-A-NYT1982_501-1000-352.txt, an internationally known authority on Slavic languages and literatures
Indobit-A-NYT1984_1001-1500-451.txt, who provided the gravel voice of Popeye the Sailor Man and other cartoon characters
Indobit-A-NYT1986_1001-1500-405.txt, a retired Foreign Service officer
Indobit-A-NYT1985 - July 1 - Sep 30-66.txt, a Harlem-based activist
Indobit-A-NYT1983 - Oct 1 - Dec 31-327.txt, a longtime Mercer County election official who attended every national Democratic convention from 1920 to 1980
Indobit-A-NYT1985 - July 1 - Sep 30-278.txt, the former head of the space agency's lunar landing research for the Apollo project of the 1960's
Indobit-A-NYT1986_501-1000-211.txt, the first woman to receive an artificial heart
Indobit-A-NYT1986_501-1000-29.txt, whose writings exploring alienation helped make him one of the best-known contemporary Italian writers
Indobit-A-NYT1984_501-1000-131.txt, an outspoken waterfront labor leader who went to prison in the McCarthy era for perjury after he was asked about Communist affiliations
